日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
109/08/03,"6,671.79","15,735.62",2020-08-03,6671.79,15735.62,0,0
109/08/04,"6,759.87","15,943.35",2020-08-04,6759.87,15943.35,0,0
109/08/05,"6,846.64","16,148.00",2020-08-05,6846.64,16148.0,0,0
109/08/06,"6,848.76","16,163.92",2020-08-06,6848.76,16163.92,0,0
109/08/07,"6,815.44","16,085.28",2020-08-07,6815.44,16085.28,0,0
109/08/10,"6,791.67","16,029.17",2020-08-10,6791.67,16029.17,0,0
109/08/11,"6,752.97","15,937.84",2020-08-11,6752.97,15937.84,0,0
109/08/12,"6,711.68","15,876.16",2020-08-12,6711.68,15876.16,0,0
109/08/13,"6,757.42","16,009.04",2020-08-13,6757.42,16009.04,0,0
109/08/14,"6,822.22","16,162.55",2020-08-14,6822.22,16162.55,0,0
109/08/17,"6,897.47","16,340.82",2020-08-17,6897.47,16340.82,0,0
109/08/18,"6,862.65","16,258.33",2020-08-18,6862.65,16258.33,0,0
109/08/19,"6,803.22","16,117.54",2020-08-19,6803.22,16117.54,0,0
109/08/20,"6,585.63","15,602.04",2020-08-20,6585.63,15602.04,0,0
109/08/21,"6,701.52","15,876.59",2020-08-21,6701.52,15876.59,0,0
109/08/24,"6,701.67","15,896.09",2020-08-24,6701.67,15896.09,0,0
109/08/25,"6,774.28","16,068.31",2020-08-25,6774.28,16068.31,0,0
109/08/26,"6,756.01","16,024.98",2020-08-26,6756.01,16024.98,0,0
109/08/27,"6,727.34","15,975.75",2020-08-27,6727.34,15975.75,0,0
109/08/28,"6,693.28","15,894.87",2020-08-28,6693.28,15894.87,0,0
109/08/31,"6,639.05","15,766.10",2020-08-31,6639.05,15766.1,0,0
