日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
109/06/01,"6,573.31","14,834.02",2020-06-01,6573.31,14834.02,0,0
109/06/02,"6,590.39","14,872.55",2020-06-02,6590.39,14872.55,0,0
109/06/03,"6,671.65","15,055.93",2020-06-03,6671.65,15055.93,0,0
109/06/04,"6,718.40","15,161.43",2020-06-04,6718.4,15161.43,0,0
109/06/05,"6,743.53","15,218.16",2020-06-05,6743.53,15218.16,0,0
109/06/08,"6,753.96","15,241.69",2020-06-08,6753.96,15241.69,0,0
109/06/09,"6,744.13","15,219.51",2020-06-09,6744.13,15219.51,0,0
109/06/10,"6,760.32","15,256.05",2020-06-10,6760.32,15256.05,0,0
109/06/11,"6,658.20","15,025.59",2020-06-11,6658.2,15025.59,0,0
109/06/12,"6,626.28","14,953.54",2020-06-12,6626.28,14953.54,0,0
109/06/15,"6,569.35","14,825.09",2020-06-15,6569.35,14825.09,0,0
109/06/16,"6,647.14","15,033.13",2020-06-16,6647.14,15033.13,0,0
109/06/17,"6,631.42","15,032.93",2020-06-17,6631.42,15032.93,0,0
109/06/18,"6,656.44","15,089.65",2020-06-18,6656.44,15089.65,0,0
109/06/19,"6,619.30","15,005.45",2020-06-19,6619.3,15005.45,0,0
109/06/22,"6,630.13","15,048.92",2020-06-22,6630.13,15048.92,0,0
109/06/23,"6,620.12","15,079.31",2020-06-23,6620.12,15079.31,0,0
109/06/24,"6,601.35","15,067.94",2020-06-24,6601.35,15067.94,0,0
109/06/29,"6,546.36","14,942.42",2020-06-29,6546.36,14942.42,0,0
109/06/30,"6,553.33","14,998.39",2020-06-30,6553.33,14998.39,0,0
