日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
107/10/01,"6,039.50","12,639.64",2018-10-01,6039.5,12639.64,0,0
107/10/02,"5,991.20","12,538.54",2018-10-02,5991.2,12538.54,0,0
107/10/03,"5,904.36","12,356.80",2018-10-03,5904.36,12356.8,0,0
107/10/04,"5,891.56","12,330.01",2018-10-04,5891.56,12330.01,0,0
107/10/05,"5,808.26","12,155.69",2018-10-05,5808.26,12155.69,0,0
107/10/08,"5,788.66","12,114.67",2018-10-08,5788.66,12114.67,0,0
107/10/09,"5,794.51","12,126.90",2018-10-09,5794.51,12126.9,0,0
107/10/11,"5,450.86","11,407.70",2018-10-11,5450.86,11407.7,0,0
107/10/12,"5,557.75","11,631.40",2018-10-12,5557.75,11631.4,0,0
107/10/15,"5,536.47","11,586.87",2018-10-15,5536.47,11586.87,0,0
107/10/16,"5,581.87","11,681.89",2018-10-16,5581.87,11681.89,0,0
107/10/17,"5,613.17","11,747.39",2018-10-17,5613.17,11747.39,0,0
107/10/18,"5,625.76","11,773.75",2018-10-18,5625.76,11773.75,0,0
107/10/19,"5,643.01","11,809.85",2018-10-19,5643.01,11809.85,0,0
107/10/22,"5,639.75","11,803.02",2018-10-22,5639.75,11803.02,0,0
107/10/23,"5,623.35","11,768.70",2018-10-23,5623.35,11768.7,0,0
107/10/24,"5,632.49","11,787.83",2018-10-24,5632.49,11787.83,0,0
107/10/25,"5,501.18","11,513.01",2018-10-25,5501.18,11513.01,0,0
107/10/26,"5,471.20","11,450.27",2018-10-26,5471.2,11450.27,0,0
107/10/29,"5,449.94","11,405.77",2018-10-29,5449.94,11405.77,0,0
107/10/30,"5,464.14","11,435.50",2018-10-30,5464.14,11435.5,0,0
107/10/31,"5,585.01","11,688.46",2018-10-31,5585.01,11688.46,0,0
