日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
104/04/01,"5,903.86","9,728.30",2015-04-01,5903.86,9728.3,0,0
104/04/02,"5,936.64","9,782.31",2015-04-02,5936.64,9782.31,0,0
104/04/07,"5,965.30","9,829.54",2015-04-07,5965.3,9829.54,0,0
104/04/08,"5,913.63","9,744.40",2015-04-08,5913.63,9744.4,0,0
104/04/09,"5,949.90","9,804.17",2015-04-09,5949.9,9804.17,0,0
104/04/10,"5,953.21","9,809.62",2015-04-10,5953.21,9809.62,0,0
104/04/13,"5,966.04","9,830.75",2015-04-13,5966.04,9830.75,0,0
104/04/14,"5,981.80","9,856.73",2015-04-14,5981.8,9856.73,0,0
104/04/15,"5,915.91","9,748.16",2015-04-15,5915.91,9748.16,0,0
104/04/16,"5,952.52","9,808.48",2015-04-16,5952.52,9808.48,0,0
104/04/17,"5,907.78","9,734.75",2015-04-17,5907.78,9734.75,0,0
104/04/20,"5,858.49","9,653.54",2015-04-20,5858.49,9653.54,0,0
104/04/21,"5,841.19","9,625.03",2015-04-21,5841.19,9625.03,0,0
104/04/22,"5,908.83","9,736.49",2015-04-22,5908.83,9736.49,0,0
104/04/23,"6,021.15","9,921.57",2015-04-23,6021.15,9921.57,0,0
104/04/24,"6,055.60","9,978.34",2015-04-24,6055.6,9978.34,0,0
104/04/27,"6,099.49","10,050.65",2015-04-27,6099.49,10050.65,0,0
104/04/28,"6,075.45","10,011.03",2015-04-28,6075.45,10011.03,0,0
104/04/29,"6,006.40","9,897.26",2015-04-29,6006.4,9897.26,0,0
104/04/30,"6,010.42","9,903.89",2015-04-30,6010.42,9903.89,0,0
