日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
109/10/05,"6,480.73","15,390.12",2020-10-05,6480.73,15390.12,0,0
109/10/06,"6,544.01","15,540.39",2020-10-06,6544.01,15540.39,0,0
109/10/07,"6,529.52","15,505.99",2020-10-07,6529.52,15505.99,0,0
109/10/08,"6,554.60","15,565.54",2020-10-08,6554.6,15565.54,0,0
109/10/12,"6,563.66","15,587.07",2020-10-12,6563.66,15587.07,0,0
109/10/13,"6,545.71","15,544.44",2020-10-13,6545.71,15544.44,0,0
109/10/14,"6,548.44","15,550.91",2020-10-14,6548.44,15550.91,0,0
109/10/15,"6,525.25","15,495.85",2020-10-15,6525.25,15495.85,0,0
109/10/16,"6,504.28","15,446.03",2020-10-16,6504.28,15446.03,0,0
109/10/19,"6,521.31","15,486.49",2020-10-19,6521.31,15486.49,0,0
109/10/20,"6,524.62","15,494.34",2020-10-20,6524.62,15494.34,0,0
109/10/21,"6,507.61","15,453.94",2020-10-21,6507.61,15453.94,0,0
109/10/22,"6,521.91","15,487.92",2020-10-22,6521.91,15487.92,0,0
109/10/23,"6,527.10","15,500.23",2020-10-23,6527.1,15500.23,0,0
109/10/26,"6,536.23","15,521.91",2020-10-26,6536.23,15521.91,0,0
109/10/27,"6,531.09","15,509.71",2020-10-27,6531.09,15509.71,0,0
109/10/28,"6,562.01","15,583.15",2020-10-28,6562.01,15583.15,0,0
109/10/29,"6,509.80","15,459.16",2020-10-29,6509.8,15459.16,0,0
109/10/30,"6,464.96","15,352.67",2020-10-30,6464.96,15352.67,0,0
