日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
 98/09/01,"5,026.85","6,270.05",2009-09-01,5026.85,6270.05,0,0
 98/09/02,"5,063.47","6,315.71",2009-09-02,5063.47,6315.71,0,0
 98/09/03,"5,129.51","6,398.09",2009-09-03,5129.51,6398.09,0,0
 98/09/04,"5,178.46","6,459.15",2009-09-04,5178.46,6459.15,0,0
 98/09/07,"5,196.32","6,481.43",2009-09-07,5196.32,6481.43,0,0
 98/09/08,"5,237.03","6,532.20",2009-09-08,5237.03,6532.2,0,0
 98/09/09,"5,202.01","6,500.89",2009-09-09,5202.01,6500.89,0,0
 98/09/10,"5,215.07","6,517.21",2009-09-10,5215.07,6517.21,0,0
 98/09/11,"5,249.38","6,560.08",2009-09-11,5249.38,6560.08,0,0
 98/09/14,"5,192.80","6,494.47",2009-09-14,5192.8,6494.47,0,0
 98/09/15,"5,223.39","6,532.73",2009-09-15,5223.39,6532.73,0,0
 98/09/16,"5,285.74","6,610.71",2009-09-16,5285.74,6610.71,0,0
 98/09/17,"5,289.39","6,615.28",2009-09-17,5289.39,6615.28,0,0
 98/09/18,"5,349.15","6,690.01",2009-09-18,5349.15,6690.01,0,0
 98/09/21,"5,333.89","6,670.92",2009-09-21,5333.89,6670.92,0,0
 98/09/22,"5,300.38","6,629.02",2009-09-22,5300.38,6629.02,0,0
 98/09/23,"5,221.08","6,529.84",2009-09-23,5221.08,6529.84,0,0
 98/09/24,"5,201.14","6,504.90",2009-09-24,5201.14,6504.9,0,0
 98/09/25,"5,214.66","6,521.81",2009-09-25,5214.66,6521.81,0,0
 98/09/28,"5,145.67","6,435.52",2009-09-28,5145.67,6435.52,0,0
 98/09/29,"5,222.23","6,531.28",2009-09-29,5222.23,6531.28,0,0
 98/09/30,"5,257.49","6,575.38",2009-09-30,5257.49,6575.38,0,0
