日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
110/11/01,"7,381.15","18,487.35",2021-11-01,7381.15,18487.35,0,0
110/11/02,"7,380.11","18,484.74",2021-11-02,7380.11,18484.74,0,0
110/11/03,"7,466.96","18,702.27",2021-11-03,7466.96,18702.27,0,0
110/11/04,"7,453.22","18,667.84",2021-11-04,7453.22,18667.84,0,0
110/11/05,"7,519.65","18,834.24",2021-11-05,7519.65,18834.24,0,0
110/11/08,"7,641.97","19,140.62",2021-11-08,7641.97,19140.62,0,0
110/11/09,"7,621.20","19,088.59",2021-11-09,7621.2,19088.59,0,0
110/11/10,"7,607.84","19,055.12",2021-11-10,7607.84,19055.12,0,0
110/11/11,"7,546.42","18,901.28",2021-11-11,7546.42,18901.28,0,0
110/11/12,"7,578.41","18,981.41",2021-11-12,7578.41,18981.41,0,0
110/11/15,"7,626.61","19,102.14",2021-11-15,7626.61,19102.14,0,0
110/11/16,"7,672.46","19,216.98",2021-11-16,7672.46,19216.98,0,0
110/11/17,"7,711.37","19,314.42",2021-11-17,7711.37,19314.42,0,0
110/11/18,"7,750.32","19,411.99",2021-11-18,7750.32,19411.99,0,0
110/11/19,"7,750.21","19,411.73",2021-11-19,7750.21,19411.73,0,0
110/11/22,"7,738.42","19,382.18",2021-11-22,7738.42,19382.18,0,0
110/11/23,"7,668.51","19,207.08",2021-11-23,7668.51,19207.08,0,0
110/11/24,"7,667.20","19,203.81",2021-11-24,7667.2,19203.81,0,0
110/11/25,"7,682.26","19,241.53",2021-11-25,7682.26,19241.53,0,0
110/11/26,"7,574.55","18,971.75",2021-11-26,7574.55,18971.75,0,0
110/11/29,"7,572.73","18,967.20",2021-11-29,7572.73,18967.2,0,0
110/11/30,"7,569.09","18,958.08",2021-11-30,7569.09,18958.08,0,0
