日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
103/04/01,"5,736.91","9,028.97",2014-04-01,5736.91,9028.97,0,0
103/04/02,"5,767.12","9,076.51",2014-04-02,5767.12,9076.51,0,0
103/04/03,"5,757.40","9,061.21",2014-04-03,5757.4,9061.21,0,0
103/04/07,"5,761.17","9,067.15",2014-04-07,5761.17,9067.15,0,0
103/04/08,"5,753.06","9,054.39",2014-04-08,5753.06,9054.39,0,0
103/04/09,"5,786.15","9,106.47",2014-04-09,5786.15,9106.47,0,0
103/04/10,"5,801.48","9,130.58",2014-04-10,5801.48,9130.58,0,0
103/04/11,"5,798.65","9,126.14",2014-04-11,5798.65,9126.14,0,0
103/04/14,"5,766.75","9,075.92",2014-04-14,5766.75,9075.92,0,0
103/04/15,"5,824.99","9,167.59",2014-04-15,5824.99,9167.59,0,0
103/04/16,"5,840.28","9,191.65",2014-04-16,5840.28,9191.65,0,0
103/04/17,"5,848.01","9,203.81",2014-04-17,5848.01,9203.81,0,0
103/04/18,"5,833.01","9,180.21",2014-04-18,5833.01,9180.21,0,0
103/04/21,"5,804.89","9,135.95",2014-04-21,5804.89,9135.95,0,0
103/04/22,"5,819.83","9,159.46",2014-04-22,5819.83,9159.46,0,0
103/04/23,"5,792.98","9,117.22",2014-04-23,5792.98,9117.22,0,0
103/04/24,"5,769.98","9,081.01",2014-04-24,5769.98,9081.01,0,0
103/04/25,"5,659.31","8,906.84",2014-04-25,5659.31,8906.84,0,0
103/04/28,"5,705.11","8,978.91",2014-04-28,5705.11,8978.91,0,0
103/04/29,"5,763.52","9,070.84",2014-04-29,5763.52,9070.84,0,0
103/04/30,"5,730.84","9,019.41",2014-04-30,5730.84,9019.41,0,0
