日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
104/10/01,"4,777.42","8,463.35",2015-10-01,4777.42,8463.35,0,0
104/10/02,"4,788.08","8,482.23",2015-10-02,4788.08,8482.23,0,0
104/10/05,"4,834.96","8,565.28",2015-10-05,4834.96,8565.28,0,0
104/10/06,"4,875.57","8,637.22",2015-10-06,4875.57,8637.22,0,0
104/10/07,"4,915.71","8,708.33",2015-10-07,4915.71,8708.33,0,0
104/10/08,"4,876.05","8,638.06",2015-10-08,4876.05,8638.06,0,0
104/10/12,"4,946.13","8,762.22",2015-10-12,4946.13,8762.22,0,0
104/10/13,"4,980.96","8,823.91",2015-10-13,4980.96,8823.91,0,0
104/10/14,"4,991.58","8,842.72",2015-10-14,4991.58,8842.72,0,0
104/10/15,"5,024.37","8,900.83",2015-10-15,5024.37,8900.83,0,0
104/10/16,"5,063.93","8,970.91",2015-10-16,5063.93,8970.91,0,0
104/10/19,"5,057.97","8,960.35",2015-10-19,5057.97,8960.35,0,0
104/10/20,"5,089.25","9,015.77",2015-10-20,5089.25,9015.77,0,0
104/10/21,"5,051.60","8,949.07",2015-10-21,5051.6,8949.07,0,0
104/10/22,"5,071.90","8,985.02",2015-10-22,5071.9,8985.02,0,0
104/10/23,"5,084.56","9,007.44",2015-10-23,5084.56,9007.44,0,0
104/10/26,"5,153.38","9,129.36",2015-10-26,5153.38,9129.36,0,0
104/10/27,"5,162.03","9,144.69",2015-10-27,5162.03,9144.69,0,0
104/10/28,"5,146.57","9,117.29",2015-10-28,5146.57,9117.29,0,0
104/10/29,"5,072.61","8,986.27",2015-10-29,5072.61,8986.27,0,0
104/10/30,"5,053.05","8,951.62",2015-10-30,5053.05,8951.62,0,0
