日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
110/06/01,"8,143.17","19,452.35",2021-06-01,8143.17,19452.35,0,0
110/06/02,"8,095.57","19,338.63",2021-06-02,8095.57,19338.63,0,0
110/06/03,"8,099.07","19,367.78",2021-06-03,8099.07,19367.78,0,0
110/06/04,"8,032.21","19,207.87",2021-06-04,8032.21,19207.87,0,0
110/06/07,"8,013.35","19,162.79",2021-06-07,8013.35,19162.79,0,0
110/06/08,"7,974.69","19,126.21",2021-06-08,7974.69,19126.21,0,0
110/06/09,"7,929.65","19,018.20",2021-06-09,7929.65,19018.2,0,0
110/06/10,"7,954.81","19,078.54",2021-06-10,7954.81,19078.54,0,0
110/06/11,"7,944.78","19,054.50",2021-06-11,7944.78,19054.5,0,0
110/06/15,"7,966.76","19,107.19",2021-06-15,7966.76,19107.19,0,0
110/06/16,"8,004.25","19,197.12",2021-06-16,8004.25,19197.12,0,0
110/06/17,"8,029.80","19,284.17",2021-06-17,8029.8,19284.17,0,0
110/06/18,"8,006.92","19,262.36",2021-06-18,8006.92,19262.36,0,0
110/06/21,"7,919.78","19,052.73",2021-06-21,7919.78,19052.73,0,0
110/06/22,"7,888.33","18,977.07",2021-06-22,7888.33,18977.07,0,0
110/06/23,"7,901.00","19,007.54",2021-06-23,7901.0,19007.54,0,0
110/06/24,"7,977.46","19,201.91",2021-06-24,7977.46,19201.91,0,0
110/06/25,"7,984.40","19,218.60",2021-06-25,7984.4,19218.6,0,0
110/06/28,"8,065.85","19,414.65",2021-06-28,8065.85,19414.65,0,0
110/06/29,"7,954.03","19,178.07",2021-06-29,7954.03,19178.07,0,0
110/06/30,"8,054.34","19,457.50",2021-06-30,8054.34,19457.5,0,0
