日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
104/06/01,"5,904.40","9,729.19",2015-06-01,5904.4,9729.19,0,0
104/06/02,"5,887.04","9,700.59",2015-06-02,5887.04,9700.59,0,0
104/06/03,"5,872.20","9,676.12",2015-06-03,5872.2,9676.12,0,0
104/06/04,"5,762.49","9,495.36",2015-06-04,5762.49,9495.36,0,0
104/06/05,"5,741.68","9,461.06",2015-06-05,5741.68,9461.06,0,0
104/06/08,"5,766.66","9,502.22",2015-06-08,5766.66,9502.22,0,0
104/06/09,"5,595.76","9,220.61",2015-06-09,5595.76,9220.61,0,0
104/06/10,"5,632.70","9,281.48",2015-06-10,5632.7,9281.48,0,0
104/06/11,"5,593.06","9,216.17",2015-06-11,5593.06,9216.17,0,0
104/06/12,"5,587.21","9,206.53",2015-06-12,5587.21,9206.53,0,0
104/06/15,"5,592.80","9,215.74",2015-06-15,5592.8,9215.74,0,0
104/06/16,"5,578.46","9,192.11",2015-06-16,5578.46,9192.11,0,0
104/06/17,"5,571.52","9,180.67",2015-06-17,5571.52,9180.67,0,0
104/06/18,"5,638.37","9,290.82",2015-06-18,5638.37,9290.82,0,0
104/06/22,"5,684.27","9,366.45",2015-06-22,5684.27,9366.45,0,0
104/06/23,"5,718.87","9,423.48",2015-06-23,5718.87,9423.48,0,0
104/06/24,"5,720.78","9,426.63",2015-06-24,5720.78,9426.63,0,0
104/06/25,"5,754.25","9,481.77",2015-06-25,5754.25,9481.77,0,0
104/06/26,"5,732.86","9,460.93",2015-06-26,5732.86,9460.93,0,0
104/06/29,"5,653.64","9,330.19",2015-06-29,5653.64,9330.19,0,0
104/06/30,"5,690.72","9,391.37",2015-06-30,5690.72,9391.37,0,0
