日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
107/06/01,"6,202.70","12,226.33",2018-06-01,6202.7,12226.33,0,0
107/06/04,"6,260.56","12,340.37",2018-06-04,6260.56,12340.37,0,0
107/06/05,"6,258.04","12,335.40",2018-06-05,6258.04,12335.4,0,0
107/06/06,"6,294.22","12,406.74",2018-06-06,6294.22,12406.74,0,0
107/06/07,"6,298.23","12,414.63",2018-06-07,6298.23,12414.63,0,0
107/06/08,"6,259.77","12,338.83",2018-06-08,6259.77,12338.83,0,0
107/06/11,"6,258.74","12,336.79",2018-06-11,6258.74,12336.79,0,0
107/06/12,"6,242.71","12,305.19",2018-06-12,6242.71,12305.19,0,0
107/06/13,"6,219.45","12,259.34",2018-06-13,6219.45,12259.34,0,0
107/06/14,"6,160.88","12,143.90",2018-06-14,6160.88,12143.9,0,0
107/06/15,"6,158.15","12,138.51",2018-06-15,6158.15,12138.51,0,0
107/06/19,"6,119.86","12,063.03",2018-06-19,6119.86,12063.03,0,0
107/06/20,"6,097.34","12,018.65",2018-06-20,6097.34,12018.65,0,0
107/06/21,"6,081.03","12,010.00",2018-06-21,6081.03,12010.0,0,0
107/06/22,"6,026.32","11,901.93",2018-06-22,6026.32,11901.93,0,0
107/06/25,"5,985.06","11,820.45",2018-06-25,5985.06,11820.45,0,0
107/06/26,"5,961.95","11,774.82",2018-06-26,5961.95,11774.82,0,0
107/06/27,"5,958.91","11,768.81",2018-06-27,5958.91,11768.81,0,0
107/06/28,"5,906.20","11,664.70",2018-06-28,5906.2,11664.7,0,0
107/06/29,"5,989.21","11,828.64",2018-06-29,5989.21,11828.64,0,0
