日期,臺灣高股息指數,臺灣高股息報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
105/06/01,"5,208.86","9,227.66",2016-06-01,5208.86,9227.66,0,0
105/06/02,"5,197.59","9,207.68",2016-06-02,5197.59,9207.68,0,0
105/06/03,"5,206.03","9,240.85",2016-06-03,5206.03,9240.85,0,0
105/06/04,"5,202.05","9,233.78",2016-06-04,5202.05,9233.78,0,0
105/06/06,"5,184.57","9,202.76",2016-06-06,5184.57,9202.76,0,0
105/06/07,"5,270.81","9,355.84",2016-06-07,5270.81,9355.84,0,0
105/06/08,"5,284.91","9,380.88",2016-06-08,5284.91,9380.88,0,0
105/06/13,"5,200.39","9,230.85",2016-06-13,5200.39,9230.85,0,0
105/06/14,"5,247.45","9,314.37",2016-06-14,5247.45,9314.37,0,0
105/06/15,"5,256.64","9,330.69",2016-06-15,5256.64,9330.69,0,0
105/06/16,"5,203.43","9,236.24",2016-06-16,5203.43,9236.24,0,0
105/06/17,"5,234.75","9,291.84",2016-06-17,5234.75,9291.84,0,0
105/06/20,"5,294.41","9,397.73",2016-06-20,5294.41,9397.73,0,0
105/06/21,"5,329.56","9,471.71",2016-06-21,5329.56,9471.71,0,0
105/06/22,"5,328.74","9,470.25",2016-06-22,5328.74,9470.25,0,0
105/06/23,"5,286.70","9,414.91",2016-06-23,5286.7,9414.91,0,0
105/06/24,"5,158.53","9,197.61",2016-06-24,5158.53,9197.61,0,0
105/06/27,"5,180.75","9,256.47",2016-06-27,5180.75,9256.47,0,0
105/06/28,"5,220.59","9,327.64",2016-06-28,5220.59,9327.64,0,0
105/06/29,"5,272.69","9,420.73",2016-06-29,5272.69,9420.73,0,0
105/06/30,"5,305.47","9,479.30",2016-06-30,5305.47,9479.3,0,0
