日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
107/07/02,"10,852.17","10,886.20","10,777.94","10,777.94",107/07/02,"18,654.33",2018-07-02,10852.17,10886.2,10777.94,10777.94,18654.33,0,0
107/07/03,"10,802.88","10,873.48","10,707.68","10,715.72",107/07/03,"18,556.03",2018-07-03,10802.88,10873.48,10707.68,10715.72,18556.03,0,0
107/07/04,"10,714.25","10,752.05","10,680.44","10,721.87",107/07/04,"18,612.95",2018-07-04,10714.25,10752.05,10680.44,10721.87,18612.95,0,0
107/07/05,"10,690.91","10,709.80","10,585.27","10,611.81",107/07/05,"18,453.79",2018-07-05,10690.91,10709.8,10585.27,10611.81,18453.79,0,0
107/07/06,"10,645.66","10,665.72","10,523.58","10,608.57",107/07/06,"18,453.63",2018-07-06,10645.66,10665.72,10523.58,10608.57,18453.63,0,0
107/07/09,"10,638.90","10,746.74","10,638.90","10,720.28",107/07/09,"18,681.78",2018-07-09,10638.9,10746.74,10638.9,10720.28,18681.78,0,0
107/07/10,"10,737.62","10,776.47","10,728.24","10,756.89",107/07/10,"18,788.69",2018-07-10,10737.62,10776.47,10728.24,10756.89,18788.69,0,0
107/07/11,"10,693.64","10,693.64","10,635.03","10,676.84",107/07/11,"18,685.73",2018-07-11,10693.64,10693.64,10635.03,10676.84,18685.73,0,0
107/07/12,"10,644.91","10,752.57","10,643.65","10,738.38",107/07/12,"18,823.22",2018-07-12,10644.91,10752.57,10643.65,10738.38,18823.22,0,0
107/07/13,"10,769.70","10,864.54","10,769.70","10,864.54",107/07/13,"19,055.59",2018-07-13,10769.7,10864.54,10769.7,10864.54,19055.59,0,0
107/07/16,"10,867.97","10,890.20","10,817.45","10,817.45",107/07/16,"18,978.76",2018-07-16,10867.97,10890.2,10817.45,10817.45,18978.76,0,0
107/07/17,"10,802.75","10,818.84","10,758.83","10,778.99",107/07/17,"18,922.80",2018-07-17,10802.75,10818.84,10758.83,10778.99,18922.8,0,0
107/07/18,"10,811.43","10,872.74","10,788.37","10,842.46",107/07/18,"19,043.68",2018-07-18,10811.43,10872.74,10788.37,10842.46,19043.68,0,0
107/07/19,"10,868.56","10,896.25","10,826.14","10,835.38",107/07/19,"19,038.74",2018-07-19,10868.56,10896.25,10826.14,10835.38,19038.74,0,0
107/07/20,"10,932.51","10,963.95","10,893.73","10,932.11",107/07/20,"19,211.06",2018-07-20,10932.51,10963.95,10893.73,10932.11,19211.06,0,0
107/07/23,"10,929.46","10,984.84","10,901.75","10,946.89",107/07/23,"19,266.21",2018-07-23,10929.46,10984.84,10901.75,10946.89,19266.21,0,0
107/07/24,"10,937.77","10,995.39","10,917.61","10,995.39",107/07/24,"19,354.95",2018-07-24,10937.77,10995.39,10917.61,10995.39,19354.95,0,0
107/07/25,"10,957.66","10,992.29","10,956.00","10,965.79",107/07/25,"19,335.32",2018-07-25,10957.66,10992.29,10956.0,10965.79,19335.32,0,0
107/07/26,"10,969.35","11,018.19","10,966.33","11,010.61",107/07/26,"19,436.93",2018-07-26,10969.35,11018.19,10966.33,11010.61,19436.93,0,0
107/07/27,"11,023.07","11,075.78","11,009.16","11,075.78",107/07/27,"19,554.47",2018-07-27,11023.07,11075.78,11009.16,11075.78,19554.47,0,0
107/07/30,"11,072.70","11,080.41","11,001.15","11,033.54",107/07/30,"19,497.77",2018-07-30,11072.7,11080.41,11001.15,11033.54,19497.77,0,0
107/07/31,"10,997.73","11,057.51","10,976.46","11,057.51",107/07/31,"19,552.69",2018-07-31,10997.73,11057.51,10976.46,11057.51,19552.69,0,0
