日期,開盤指數,最高指數,最低指數,收盤指數,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
115/09/01,"46,177.11","46,948.72","46,081.11","46,948.72","108,395.72",2026-09-01,46177.11,46948.72,46081.11,46948.72,108395.72,0,0
115/09/02,"46,901.32","46,946.60","46,164.72","46,164.72","106,591.66",2026-09-02,46901.32,46946.6,46164.72,46164.72,106591.66,0,0
115/09/03,"46,325.48","46,517.45","45,839.36","45,857.66","105,884.91",2026-09-03,46325.48,46517.45,45839.36,45857.66,105884.91,0,0
115/09/04,"45,991.28","46,620.96","45,966.86","46,551.13","107,486.11",2026-09-04,45991.28,46620.96,45966.86,46551.13,107486.11,0,0
115/09/07,"46,724.00","47,429.58","46,724.00","47,326.27","109,275.93",2026-09-07,46724.0,47429.58,46724.0,47326.27,109275.93,0,0
115/09/08,"47,335.24","47,578.24","47,023.73","47,105.78","108,777.60",2026-09-08,47335.24,47578.24,47023.73,47105.78,108777.6,0,0
115/09/09,"47,142.74","47,548.26","47,060.78","47,183.36","108,959.90",2026-09-09,47142.74,47548.26,47060.78,47183.36,108959.9,0,0
115/09/10,"47,130.96","47,130.96","46,573.47","46,940.49","108,399.70",2026-09-10,47130.96,47130.96,46573.47,46940.49,108399.7,0,0
115/09/11,"46,651.21","46,651.21","45,942.44","46,184.85","106,654.71",2026-09-11,46651.21,46651.21,45942.44,46184.85,106654.71,0,0
115/09/14,"46,010.74","46,050.24","45,398.43","45,862.52","105,910.88",2026-09-14,46010.74,46050.24,45398.43,45862.52,105910.88,0,0
115/09/15,"45,847.27","46,009.85","45,491.97","45,511.49","105,100.30",2026-09-15,45847.27,46009.85,45491.97,45511.49,105100.3,0,0
115/09/16,"45,546.56","46,077.82","45,546.56","45,848.90","106,011.29",2026-09-16,45546.56,46077.82,45546.56,45848.9,106011.29,0,0
115/09/17,"45,936.11","46,874.84","45,936.11","46,288.00","107,026.66",2026-09-17,45936.11,46874.84,45936.11,46288.0,107026.66,0,0
