日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
108/03/04,"10,385.25","10,402.39","10,313.18","10,349.88",108/03/04,"18,465.10",2019-03-04,10385.25,10402.39,10313.18,10349.88,18465.1,0,0
108/03/05,"10,323.25","10,334.34","10,295.44","10,305.26",108/03/05,"18,385.48",2019-03-05,10323.25,10334.34,10295.44,10305.26,18385.48,0,0
108/03/06,"10,328.18","10,359.12","10,327.90","10,357.15",108/03/06,"18,478.07",2019-03-06,10328.18,10359.12,10327.9,10357.15,18478.07,0,0
108/03/07,"10,359.47","10,367.98","10,299.46","10,311.68",108/03/07,"18,396.95",2019-03-07,10359.47,10367.98,10299.46,10311.68,18396.95,0,0
108/03/08,"10,274.28","10,274.28","10,204.21","10,241.75",108/03/08,"18,272.19",2019-03-08,10274.28,10274.28,10204.21,10241.75,18272.19,0,0
108/03/11,"10,224.27","10,269.30","10,214.02","10,250.28",108/03/11,"18,287.40",2019-03-11,10224.27,10269.3,10214.02,10250.28,18287.4,0,0
108/03/12,"10,294.37","10,382.12","10,294.37","10,343.33",108/03/12,"18,453.41",2019-03-12,10294.37,10382.12,10294.37,10343.33,18453.41,0,0
108/03/13,"10,331.27","10,373.32","10,331.27","10,373.32",108/03/13,"18,506.92",2019-03-13,10331.27,10373.32,10331.27,10373.32,18506.92,0,0
108/03/14,"10,391.30","10,407.27","10,339.64","10,348.65",108/03/14,"18,462.90",2019-03-14,10391.3,10407.27,10339.64,10348.65,18462.9,0,0
108/03/15,"10,374.66","10,439.24","10,370.00","10,439.24",108/03/15,"18,624.52",2019-03-15,10374.66,10439.24,10370.0,10439.24,18624.52,0,0
108/03/18,"10,455.19","10,512.70","10,445.74","10,512.70",108/03/18,"18,755.58",2019-03-18,10455.19,10512.7,10445.74,10512.7,18755.58,0,0
108/03/19,"10,497.40","10,525.60","10,484.69","10,512.32",108/03/19,"18,754.90",2019-03-19,10497.4,10525.6,10484.69,10512.32,18754.9,0,0
108/03/20,"10,529.30","10,556.81","10,506.96","10,551.56",108/03/20,"18,824.92",2019-03-20,10529.3,10556.81,10506.96,10551.56,18824.92,0,0
108/03/21,"10,563.93","10,612.34","10,551.67","10,609.55",108/03/21,"18,928.38",2019-03-21,10563.93,10612.34,10551.67,10609.55,18928.38,0,0
108/03/22,"10,642.57","10,667.94","10,589.47","10,639.07",108/03/22,"18,981.04",2019-03-22,10642.57,10667.94,10589.47,10639.07,18981.04,0,0
108/03/25,"10,535.12","10,535.12","10,458.79","10,479.48",108/03/25,"18,696.31",2019-03-25,10535.12,10535.12,10458.79,10479.48,18696.31,0,0
108/03/26,"10,506.68","10,559.20","10,506.68","10,559.20",108/03/26,"18,838.55",2019-03-26,10506.68,10559.2,10506.68,10559.2,18838.55,0,0
108/03/27,"10,542.68","10,556.75","10,515.86","10,542.70",108/03/27,"18,809.10",2019-03-27,10542.68,10556.75,10515.86,10542.7,18809.1,0,0
108/03/28,"10,529.02","10,536.26","10,499.29","10,536.26",108/03/28,"18,797.62",2019-03-28,10529.02,10536.26,10499.29,10536.26,18797.62,0,0
108/03/29,"10,551.99","10,641.04","10,525.27","10,641.04",108/03/29,"18,984.56",2019-03-29,10551.99,10641.04,10525.27,10641.04,18984.56,0,0
