日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
 93/01/02,"5,907.15","6,043.30","5,907.15","6,041.56", 93/01/02,"6,175.79",2004-01-02,5907.15,6043.3,5907.15,6041.56,6175.79,0,0
 93/01/05,"6,080.18","6,137.91","6,061.86","6,125.42", 93/01/05,"6,261.52",2004-01-05,6080.18,6137.91,6061.86,6125.42,6261.52,0,0
 93/01/06,"6,170.02","6,170.02","6,110.69","6,144.01", 93/01/06,"6,280.51",2004-01-06,6170.02,6170.02,6110.69,6144.01,6280.51,0,0
 93/01/07,"6,174.95","6,215.45","6,130.35","6,141.25", 93/01/07,"6,277.70",2004-01-07,6174.95,6215.45,6130.35,6141.25,6277.7,0,0
 93/01/08,"6,180.36","6,189.60","6,142.24","6,169.17", 93/01/08,"6,306.23",2004-01-08,6180.36,6189.6,6142.24,6169.17,6306.23,0,0
 93/01/09,"6,241.36","6,257.89","6,207.69","6,226.98", 93/01/09,"6,365.33",2004-01-09,6241.36,6257.89,6207.69,6226.98,6365.33,0,0
 93/01/12,"6,225.23","6,246.62","6,196.41","6,219.71", 93/01/12,"6,357.90",2004-01-12,6225.23,6246.62,6196.41,6219.71,6357.9,0,0
 93/01/13,"6,239.16","6,255.94","6,195.64","6,210.22", 93/01/13,"6,348.28",2004-01-13,6239.16,6255.94,6195.64,6210.22,6348.28,0,0
 93/01/14,"6,195.09","6,298.72","6,190.35","6,274.97", 93/01/14,"6,414.47",2004-01-14,6195.09,6298.72,6190.35,6274.97,6414.47,0,0
 93/01/15,"6,297.59","6,306.95","6,253.64","6,264.37", 93/01/15,"6,403.62",2004-01-15,6297.59,6306.95,6253.64,6264.37,6403.62,0,0
 93/01/16,"6,300.76","6,311.46","6,264.04","6,269.71", 93/01/16,"6,409.09",2004-01-16,6300.76,6311.46,6264.04,6269.71,6409.09,0,0
 93/01/27,"6,371.50","6,399.82","6,334.82","6,384.63", 93/01/27,"6,526.56",2004-01-27,6371.5,6399.82,6334.82,6384.63,6526.56,0,0
 93/01/28,"6,360.71","6,421.45","6,335.54","6,386.25", 93/01/28,"6,528.22",2004-01-28,6360.71,6421.45,6335.54,6386.25,6528.22,0,0
 93/01/29,"6,348.93","6,379.05","6,303.21","6,312.65", 93/01/29,"6,452.98",2004-01-29,6348.93,6379.05,6303.21,6312.65,6452.98,0,0
 93/01/30,"6,331.71","6,386.13","6,329.17","6,375.38", 93/01/30,"6,517.11",2004-01-30,6331.71,6386.13,6329.17,6375.38,6517.11,0,0
