日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
108/09/02,"10,613.19","10,634.85","10,589.42","10,634.85",108/09/02,"19,747.08",2019-09-02,10613.19,10634.85,10589.42,10634.85,19747.08,0,0
108/09/03,"10,629.22","10,650.15","10,557.03","10,558.21",108/09/03,"19,605.96",2019-09-03,10629.22,10650.15,10557.03,10558.21,19605.96,0,0
108/09/04,"10,566.32","10,670.43","10,566.32","10,657.31",108/09/04,"19,790.44",2019-09-04,10566.32,10670.43,10566.32,10657.31,19790.44,0,0
108/09/05,"10,718.40","10,766.60","10,714.27","10,756.93",108/09/05,"19,979.16",2019-09-05,10718.4,10766.6,10714.27,10756.93,19979.16,0,0
108/09/06,"10,783.46","10,803.07","10,753.45","10,780.64",108/09/06,"20,023.69",2019-09-06,10783.46,10803.07,10753.45,10780.64,20023.69,0,0
108/09/09,"10,808.68","10,829.44","10,778.15","10,801.14",108/09/09,"20,062.05",2019-09-09,10808.68,10829.44,10778.15,10801.14,20062.05,0,0
108/09/10,"10,791.95","10,810.03","10,732.78","10,753.58",108/09/10,"19,973.71",2019-09-10,10791.95,10810.03,10732.78,10753.58,19973.71,0,0
108/09/11,"10,787.65","10,815.59","10,746.87","10,790.35",108/09/11,"20,042.62",2019-09-11,10787.65,10815.59,10746.87,10790.35,20042.62,0,0
108/09/12,"10,830.25","10,862.68","10,804.02","10,827.55",108/09/12,"20,111.71",2019-09-12,10830.25,10862.68,10804.02,10827.55,20111.71,0,0
108/09/16,"10,822.69","10,898.13","10,822.69","10,898.13",108/09/16,"20,248.60",2019-09-16,10822.69,10898.13,10822.69,10898.13,20248.6,0,0
108/09/17,"10,908.85","10,912.23","10,866.43","10,874.50",108/09/17,"20,204.79",2019-09-17,10908.85,10912.23,10866.43,10874.5,20204.79,0,0
108/09/18,"10,887.42","10,971.54","10,878.34","10,929.45",108/09/18,"20,306.99",2019-09-18,10887.42,10971.54,10878.34,10929.45,20306.99,0,0
108/09/19,"10,947.62","10,954.18","10,874.66","10,894.70",108/09/19,"20,274.61",2019-09-19,10947.62,10954.18,10874.66,10894.7,20274.61,0,0
108/09/20,"10,908.10","10,931.76","10,903.45","10,929.69",108/09/20,"20,339.81",2019-09-20,10908.1,10931.76,10903.45,10929.69,20339.81,0,0
108/09/23,"10,924.81","10,948.19","10,905.92","10,919.02",108/09/23,"20,319.98",2019-09-23,10924.81,10948.19,10905.92,10919.02,20319.98,0,0
108/09/24,"10,917.44","10,947.53","10,886.62","10,918.01",108/09/24,"20,318.25",2019-09-24,10917.44,10947.53,10886.62,10918.01,20318.25,0,0
108/09/25,"10,885.67","10,885.67","10,825.85","10,873.69",108/09/25,"20,235.92",2019-09-25,10885.67,10885.67,10825.85,10873.69,20235.92,0,0
108/09/26,"10,909.57","10,934.91","10,856.96","10,871.99",108/09/26,"20,233.00",2019-09-26,10909.57,10934.91,10856.96,10871.99,20233.0,0,0
108/09/27,"10,904.00","10,921.17","10,827.61","10,829.68",108/09/27,"20,154.27",2019-09-27,10904.0,10921.17,10827.61,10829.68,20154.27,0,0
