日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
 92/03/03,"4,483.44","4,546.85","4,472.17","4,526.69", 92/03/03,"4,527.17",2003-03-03,4483.44,4546.85,4472.17,4526.69,4527.17,0,0
 92/03/04,"4,481.55","4,515.97","4,476.55","4,499.69", 92/03/04,"4,500.17",2003-03-04,4481.55,4515.97,4476.55,4499.69,4500.17,0,0
 92/03/05,"4,457.46","4,475.97","4,411.97","4,418.11", 92/03/05,"4,418.58",2003-03-05,4457.46,4475.97,4411.97,4418.11,4418.58,0,0
 92/03/06,"4,443.34","4,451.40","4,385.58","4,397.44", 92/03/06,"4,397.91",2003-03-06,4443.34,4451.4,4385.58,4397.44,4397.91,0,0
 92/03/07,"4,352.73","4,403.39","4,312.28","4,350.59", 92/03/07,"4,351.05",2003-03-07,4352.73,4403.39,4312.28,4350.59,4351.05,0,0
 92/03/10,"4,370.68","4,384.64","4,308.52","4,319.99", 92/03/10,"4,320.45",2003-03-10,4370.68,4384.64,4308.52,4319.99,4320.45,0,0
 92/03/11,"4,272.02","4,313.59","4,240.60","4,260.45", 92/03/11,"4,260.90",2003-03-11,4272.02,4313.59,4240.6,4260.45,4260.9,0,0
 92/03/12,"4,275.58","4,328.15","4,254.41","4,328.15", 92/03/12,"4,328.61",2003-03-12,4275.58,4328.15,4254.41,4328.15,4328.61,0,0
 92/03/13,"4,320.48","4,400.83","4,298.46","4,378.99", 92/03/13,"4,379.45",2003-03-13,4320.48,4400.83,4298.46,4378.99,4379.45,0,0
 92/03/14,"4,519.20","4,532.97","4,469.99","4,476.17", 92/03/14,"4,476.64",2003-03-14,4519.2,4532.97,4469.99,4476.17,4476.64,0,0
 92/03/17,"4,441.80","4,441.80","4,357.88","4,357.99", 92/03/17,"4,358.45",2003-03-17,4441.8,4441.8,4357.88,4357.99,4358.45,0,0
 92/03/18,"4,504.82","4,569.12","4,488.28","4,539.72", 92/03/18,"4,540.20",2003-03-18,4504.82,4569.12,4488.28,4539.72,4540.2,0,0
 92/03/19,"4,533.45","4,547.85","4,495.03","4,515.07", 92/03/19,"4,515.55",2003-03-19,4533.45,4547.85,4495.03,4515.07,4515.55,0,0
 92/03/20,"4,584.47","4,613.69","4,505.46","4,599.25", 92/03/20,"4,599.74",2003-03-20,4584.47,4613.69,4505.46,4599.25,4599.74,0,0
 92/03/21,"4,589.81","4,615.84","4,565.05","4,586.92", 92/03/21,"4,587.41",2003-03-21,4589.81,4615.84,4565.05,4586.92,4587.41,0,0
 92/03/24,"4,619.07","4,619.98","4,568.34","4,570.68", 92/03/24,"4,571.16",2003-03-24,4619.07,4619.98,4568.34,4570.68,4571.16,0,0
 92/03/25,"4,473.56","4,513.83","4,473.56","4,498.83", 92/03/25,"4,499.30",2003-03-25,4473.56,4513.83,4473.56,4498.83,4499.3,0,0
 92/03/26,"4,533.27","4,537.00","4,489.62","4,496.05", 92/03/26,"4,496.53",2003-03-26,4533.27,4537.0,4489.62,4496.05,4496.53,0,0
 92/03/27,"4,467.74","4,514.24","4,467.16","4,514.24", 92/03/27,"4,514.72",2003-03-27,4467.74,4514.24,4467.16,4514.24,4514.72,0,0
 92/03/28,"4,513.26","4,517.51","4,465.28","4,477.01", 92/03/28,"4,477.49",2003-03-28,4513.26,4517.51,4465.28,4477.01,4477.49,0,0
 92/03/31,"4,442.10","4,442.10","4,306.54","4,321.22", 92/03/31,"4,321.68",2003-03-31,4442.1,4442.1,4306.54,4321.22,4321.68,0,0
