日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
114/04/01,"20,884.53","21,315.52","20,884.53","21,280.17",114/04/01,"47,166.30",2025-04-01,20884.53,21315.52,20884.53,21280.17,47166.3,0,0
114/04/02,"21,313.77","21,390.52","21,235.99","21,298.22",114/04/02,"47,206.32",2025-04-02,21313.77,21390.52,21235.99,21298.22,47206.32,0,0
114/04/07,"20,153.57","20,153.57","19,212.02","19,232.35",114/04/07,"42,627.45",2025-04-07,20153.57,20153.57,19212.02,19232.35,42627.45,0,0
114/04/08,"19,064.47","19,064.47","18,180.48","18,459.95",114/04/08,"40,915.49",2025-04-08,19064.47,19064.47,18180.48,18459.95,40915.49,0,0
114/04/09,"18,337.44","18,371.52","17,306.97","17,391.76",114/04/09,"38,547.90",2025-04-09,18337.44,18371.52,17306.97,17391.76,38547.9,0,0
114/04/10,"18,256.47","19,024.47","18,256.47","19,000.03",114/04/10,"42,114.04",2025-04-10,18256.47,19024.47,18256.47,19000.03,42114.04,0,0
114/04/11,"18,772.50","19,528.77","18,418.20","19,528.77",114/04/11,"43,286.58",2025-04-11,18772.5,19528.77,18418.2,19528.77,43286.58,0,0
114/04/14,"19,686.68","20,023.63","19,508.93","19,513.09",114/04/14,"43,251.81",2025-04-14,19686.68,20023.63,19508.93,19513.09,43251.81,0,0
114/04/15,"19,609.90","19,895.43","19,576.15","19,857.67",114/04/15,"44,015.61",2025-04-15,19609.9,19895.43,19576.15,19857.67,44015.61,0,0
114/04/16,"19,737.09","19,737.09","19,453.14","19,468.00",114/04/16,"43,151.88",2025-04-16,19737.09,19737.09,19453.14,19468.0,43151.88,0,0
114/04/17,"19,389.52","19,478.00","19,196.47","19,338.73",114/04/17,"42,868.63",2025-04-17,19389.52,19478.0,19196.47,19338.73,42868.63,0,0
114/04/18,"19,423.98","19,499.28","19,376.35","19,395.03",114/04/18,"42,993.52",2025-04-18,19423.98,19499.28,19376.35,19395.03,42993.52,0,0
114/04/21,"19,321.14","19,359.96","19,080.60","19,106.20",114/04/21,"42,353.26",2025-04-21,19321.14,19359.96,19080.6,19106.2,42353.26,0,0
114/04/22,"18,990.86","19,059.65","18,793.43","18,793.43",114/04/22,"41,659.94",2025-04-22,18990.86,19059.65,18793.43,18793.43,41659.94,0,0
114/04/23,"19,163.61","19,639.14","19,163.61","19,639.14",114/04/23,"43,534.64",2025-04-23,19163.61,19639.14,19163.61,19639.14,43534.64,0,0
114/04/24,"19,752.59","19,752.59","19,433.37","19,478.81",114/04/24,"43,181.51",2025-04-24,19752.59,19752.59,19433.37,19478.81,43181.51,0,0
114/04/25,"19,861.24","20,012.27","19,861.24","19,872.73",114/04/25,"44,054.94",2025-04-25,19861.24,20012.27,19861.24,19872.73,44054.94,0,0
114/04/28,"19,972.07","20,073.75","19,972.07","20,034.41",114/04/28,"44,413.35",2025-04-28,19972.07,20073.75,19972.07,20034.41,44413.35,0,0
