日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
100/04/01,"8,697.84","8,705.13","8,654.40","8,705.13",100/04/01,"11,573.11",2011-04-01,8697.84,8705.13,8654.4,8705.13,11573.11,0,0
100/04/06,"8,772.13","8,860.02","8,767.21","8,851.98",100/04/06,"11,768.34",2011-04-06,8772.13,8860.02,8767.21,8851.98,11768.34,0,0
100/04/07,"8,884.84","8,901.72","8,828.92","8,901.72",100/04/07,"11,834.47",2011-04-07,8884.84,8901.72,8828.92,8901.72,11834.47,0,0
100/04/08,"8,904.44","8,929.06","8,862.49","8,894.54",100/04/08,"11,824.92",2011-04-08,8904.44,8929.06,8862.49,8894.54,11824.92,0,0
100/04/11,"8,922.75","8,922.75","8,836.38","8,880.27",100/04/11,"11,805.94",2011-04-11,8922.75,8922.75,8836.38,8880.27,11805.94,0,0
100/04/12,"8,839.22","8,839.22","8,708.86","8,732.59",100/04/12,"11,609.61",2011-04-12,8839.22,8839.22,8708.86,8732.59,11609.61,0,0
100/04/13,"8,727.95","8,780.20","8,700.08","8,780.20",100/04/13,"11,672.90",2011-04-13,8727.95,8780.2,8700.08,8780.2,11672.9,0,0
100/04/14,"8,787.75","8,835.39","8,772.30","8,802.73",100/04/14,"11,702.86",2011-04-14,8787.75,8835.39,8772.3,8802.73,11702.86,0,0
100/04/15,"8,828.63","8,834.07","8,716.70","8,718.12",100/04/15,"11,590.38",2011-04-15,8828.63,8834.07,8716.7,8718.12,11590.38,0,0
100/04/18,"8,752.56","8,764.65","8,703.11","8,714.48",100/04/18,"11,585.53",2011-04-18,8752.56,8764.65,8703.11,8714.48,11585.53,0,0
100/04/19,"8,643.40","8,658.97","8,592.23","8,638.55",100/04/19,"11,484.59",2011-04-19,8643.4,8658.97,8592.23,8638.55,11484.59,0,0
100/04/20,"8,704.48","8,813.28","8,698.97","8,813.28",100/04/20,"11,716.88",2011-04-20,8704.48,8813.28,8698.97,8813.28,11716.88,0,0
100/04/21,"8,893.07","8,992.08","8,892.06","8,957.65",100/04/21,"11,908.82",2011-04-21,8893.07,8992.08,8892.06,8957.65,11908.82,0,0
100/04/22,"8,980.43","8,992.67","8,956.07","8,969.43",100/04/22,"11,924.48",2011-04-22,8980.43,8992.67,8956.07,8969.43,11924.48,0,0
100/04/25,"9,015.91","9,037.09","8,950.75","8,950.75",100/04/25,"11,899.65",2011-04-25,9015.91,9037.09,8950.75,8950.75,11899.65,0,0
100/04/26,"8,894.01","8,966.86","8,866.74","8,948.14",100/04/26,"11,896.18",2011-04-26,8894.01,8966.86,8866.74,8948.14,11896.18,0,0
100/04/27,"9,012.28","9,060.50","9,012.28","9,049.25",100/04/27,"12,030.60",2011-04-27,9012.28,9060.5,9012.28,9049.25,12030.6,0,0
100/04/28,"9,088.97","9,099.75","9,021.36","9,040.77",100/04/28,"12,019.33",2011-04-28,9088.97,9099.75,9021.36,9040.77,12019.33,0,0
100/04/29,"9,050.49","9,058.78","8,943.99","9,007.87",100/04/29,"11,975.59",2011-04-29,9050.49,9058.78,8943.99,9007.87,11975.59,0,0
