日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
112/10/02,"16,382.96","16,575.31","16,382.96","16,557.31",112/10/02,"35,624.87",2023-10-02,16382.96,16575.31,16382.96,16557.31,35624.87,0,0
112/10/03,"16,520.24","16,571.66","16,453.80","16,454.34",112/10/03,"35,403.55",2023-10-03,16520.24,16571.66,16453.8,16454.34,35403.55,0,0
112/10/04,"16,419.48","16,419.48","16,203.34","16,273.38",112/10/04,"35,014.29",2023-10-04,16419.48,16419.48,16203.34,16273.38,35014.29,0,0
