日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
111/11/01,"12,933.12","13,062.90","12,907.61","13,037.21",111/11/01,"27,056.79",2022-11-01,12933.12,13062.9,12907.61,13037.21,27056.79,0,0
111/11/02,"13,033.15","13,100.17","13,014.04","13,100.17",111/11/02,"27,187.46",2022-11-02,13033.15,13100.17,13014.04,13100.17,27187.46,0,0
111/11/03,"12,985.55","12,991.37","12,905.35","12,986.60",111/11/03,"26,951.77",2022-11-03,12985.55,12991.37,12905.35,12986.6,26951.77,0,0
111/11/04,"12,941.78","13,029.94","12,868.25","13,026.71",111/11/04,"27,035.01",2022-11-04,12941.78,13029.94,12868.25,13026.71,27035.01,0,0
111/11/07,"13,109.35","13,246.59","13,103.35","13,223.73",111/11/07,"27,443.89",2022-11-07,13109.35,13246.59,13103.35,13223.73,27443.89,0,0
111/11/08,"13,274.91","13,389.25","13,274.91","13,347.76",111/11/08,"27,701.59",2022-11-08,13274.91,13389.25,13274.91,13347.76,27701.59,0,0
111/11/09,"13,410.19","13,638.81","13,410.19","13,638.81",111/11/09,"28,305.61",2022-11-09,13410.19,13638.81,13410.19,13638.81,28305.61,0,0
111/11/10,"13,556.51","13,559.40","13,463.85","13,503.76",111/11/10,"28,025.33",2022-11-10,13556.51,13559.4,13463.85,13503.76,28025.33,0,0
111/11/11,"13,878.95","14,045.51","13,878.95","14,007.56",111/11/11,"29,070.92",2022-11-11,13878.95,14045.51,13878.95,14007.56,29070.92,0,0
111/11/14,"14,080.91","14,217.30","14,076.94","14,174.90",111/11/14,"29,418.21",2022-11-14,14080.91,14217.3,14076.94,14174.9,29418.21,0,0
111/11/15,"14,325.49","14,568.51","14,278.53","14,546.31",111/11/15,"30,189.11",2022-11-15,14325.49,14568.51,14278.53,14546.31,30189.11,0,0
111/11/16,"14,637.85","14,657.66","14,481.06","14,537.35",111/11/16,"30,170.51",2022-11-16,14637.85,14657.66,14481.06,14537.35,30170.51,0,0
111/11/17,"14,489.41","14,545.89","14,383.55","14,535.23",111/11/17,"30,166.40",2022-11-17,14489.41,14545.89,14383.55,14535.23,30166.4,0,0
111/11/18,"14,584.31","14,669.98","14,470.48","14,504.99",111/11/18,"30,103.62",2022-11-18,14584.31,14669.98,14470.48,14504.99,30103.62,0,0
111/11/21,"14,514.71","14,530.76","14,421.65","14,449.39",111/11/21,"29,988.31",2022-11-21,14514.71,14530.76,14421.65,14449.39,29988.31,0,0
111/11/22,"14,404.08","14,542.79","14,371.09","14,542.20",111/11/22,"30,181.01",2022-11-22,14404.08,14542.79,14371.09,14542.2,30181.01,0,0
111/11/23,"14,595.50","14,647.98","14,573.41","14,608.54",111/11/23,"30,318.69",2022-11-23,14595.5,14647.98,14573.41,14608.54,30318.69,0,0
111/11/24,"14,649.80","14,784.00","14,649.80","14,784.00",111/11/24,"30,682.84",2022-11-24,14649.8,14784.0,14649.8,14784.0,30682.84,0,0
