日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
115/05/04,"39,228.39","40,755.52","39,228.39","40,705.14",115/05/04,"92,860.88",2026-05-04,39228.39,40755.52,39228.39,40705.14,92860.88,0,0
115/05/05,"40,708.40","40,885.05","40,522.78","40,769.29",115/05/05,"93,007.22",2026-05-05,40708.4,40885.05,40522.78,40769.29,93007.22,0,0
115/05/06,"40,983.04","41,575.84","40,616.28","41,138.85",115/05/06,"93,850.32",2026-05-06,40983.04,41575.84,40616.28,41138.85,93850.32,0,0
115/05/07,"41,259.96","42,156.06","41,259.96","41,933.78",115/05/07,"95,663.79",2026-05-07,41259.96,42156.06,41259.96,41933.78,95663.79,0,0
