日期,開盤指數,最高指數,最低指數,收盤指數,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
115/06/01,"44,872.82","45,931.10","44,872.82","45,337.91","103,434.65",2026-06-01,44872.82,45931.1,44872.82,45337.91,103434.65,0,0
115/06/02,"45,388.93","45,915.92","44,869.38","45,557.31","103,939.58",2026-06-02,45388.93,45915.92,44869.38,45557.31,103939.58,0,0
115/06/03,"45,660.46","46,552.16","45,660.46","46,459.16","105,997.21",2026-06-03,45660.46,46552.16,45660.46,46459.16,105997.21,0,0
115/06/04,"46,364.07","46,364.07","45,677.46","45,677.46","104,213.94",2026-06-04,46364.07,46364.07,45677.46,45677.46,104213.94,0,0
