日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
113/02/01,"17,871.27","17,968.11","17,832.95","17,968.11",113/02/01,"38,749.16",2024-02-01,17871.27,17968.11,17832.95,17968.11,38749.16,0,0
113/02/02,"18,016.35","18,059.93","17,985.89","18,059.93",113/02/02,"38,947.18",2024-02-02,18016.35,18059.93,17985.89,18059.93,38947.18,0,0
113/02/05,"18,047.40","18,115.80","17,992.17","18,096.07",113/02/05,"39,025.11",2024-02-05,18047.4,18115.8,17992.17,18096.07,39025.11,0,0
113/02/15,"18,664.45","18,725.47","18,550.86","18,644.57",113/02/15,"40,207.99",2024-02-15,18664.45,18725.47,18550.86,18644.57,40207.99,0,0
113/02/16,"18,639.66","18,715.69","18,585.14","18,607.25",113/02/16,"40,127.51",2024-02-16,18639.66,18715.69,18585.14,18607.25,40127.51,0,0
113/02/19,"18,561.04","18,663.74","18,561.04","18,635.80",113/02/19,"40,189.07",2024-02-19,18561.04,18663.74,18561.04,18635.8,40189.07,0,0
