日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
106/01/03,"9,252.56","9,273.65","9,235.95","9,272.88",106/01/03,"15,288.17",2017-01-03,9252.56,9273.65,9235.95,9272.88,15288.17,0,0
106/01/04,"9,279.52","9,299.62","9,266.03","9,286.96",106/01/04,"15,311.39",2017-01-04,9279.52,9299.62,9266.03,9286.96,15311.39,0,0
106/01/05,"9,282.56","9,358.42","9,282.45","9,358.14",106/01/05,"15,428.73",2017-01-05,9282.56,9358.42,9282.45,9358.14,15428.73,0,0
106/01/06,"9,371.41","9,381.11","9,351.25","9,372.22",106/01/06,"15,451.94",2017-01-06,9371.41,9381.11,9351.25,9372.22,15451.94,0,0
106/01/09,"9,376.48","9,404.90","9,328.19","9,342.42",106/01/09,"15,402.82",2017-01-09,9376.48,9404.9,9328.19,9342.42,15402.82,0,0
106/01/10,"9,344.19","9,353.60","9,319.45","9,349.64",106/01/10,"15,414.73",2017-01-10,9344.19,9353.6,9319.45,9349.64,15414.73,0,0
106/01/11,"9,370.17","9,384.00","9,333.49","9,345.74",106/01/11,"15,408.29",2017-01-11,9370.17,9384.0,9333.49,9345.74,15408.29,0,0
106/01/12,"9,356.12","9,430.58","9,356.12","9,410.18",106/01/12,"15,514.53",2017-01-12,9356.12,9430.58,9356.12,9410.18,15514.53,0,0
106/01/13,"9,373.70","9,387.68","9,352.08","9,378.83",106/01/13,"15,462.84",2017-01-13,9373.7,9387.68,9352.08,9378.83,15462.84,0,0
106/01/16,"9,356.54","9,359.01","9,281.21","9,292.33",106/01/16,"15,320.24",2017-01-16,9356.54,9359.01,9281.21,9292.33,15320.24,0,0
106/01/17,"9,301.96","9,354.53","9,294.68","9,354.53",106/01/17,"15,422.78",2017-01-17,9301.96,9354.53,9294.68,9354.53,15422.78,0,0
106/01/18,"9,344.74","9,350.95","9,322.44","9,341.97",106/01/18,"15,402.08",2017-01-18,9344.74,9350.95,9322.44,9341.97,15402.08,0,0
106/01/19,"9,324.83","9,337.64","9,287.54","9,318.12",106/01/19,"15,362.77",2017-01-19,9324.83,9337.64,9287.54,9318.12,15362.77,0,0
106/01/20,"9,326.80","9,350.07","9,317.62","9,331.46",106/01/20,"15,384.75",2017-01-20,9326.8,9350.07,9317.62,9331.46,15384.75,0,0
106/01/23,"9,363.66","9,427.46","9,363.66","9,424.05",106/01/23,"15,537.40",2017-01-23,9363.66,9427.46,9363.66,9424.05,15537.4,0,0
106/01/24,"9,423.05","9,468.34","9,416.06","9,447.95",106/01/24,"15,576.81",2017-01-24,9423.05,9468.34,9416.06,9447.95,15576.81,0,0
