日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
110/10/01,"16,883.00","16,883.00","16,503.74","16,570.89",110/10/01,"32,820.68",2021-10-01,16883.0,16883.0,16503.74,16570.89,32820.68,0,0
110/10/04,"16,600.52","16,680.29","16,380.06","16,408.35",110/10/04,"32,499.31",2021-10-04,16600.52,16680.29,16380.06,16408.35,32499.31,0,0
110/10/05,"16,362.27","16,460.75","16,162.17","16,460.75",110/10/05,"32,603.51",2021-10-05,16362.27,16460.75,16162.17,16460.75,32603.51,0,0
110/10/06,"16,488.21","16,568.21","16,303.63","16,393.16",110/10/06,"32,469.86",2021-10-06,16488.21,16568.21,16303.63,16393.16,32469.86,0,0
