日期,開盤指數,最高指數,最低指數,收盤指數,日　期,發行量加權股價報酬指數,Date,Open,High,Low,Close,Adj Close,Dividends,Stock Splits
103/04/01,"8,847.34","8,873.15","8,826.16","8,873.15",103/04/01,"13,109.80",2014-04-01,8847.34,8873.15,8826.16,8873.15,13109.8,0,0
103/04/02,"8,906.52","8,922.79","8,883.14","8,905.45",103/04/02,"13,157.54",2014-04-02,8906.52,8922.79,8883.14,8905.45,13157.54,0,0
103/04/03,"8,902.94","8,913.74","8,871.16","8,888.54",103/04/03,"13,132.55",2014-04-03,8902.94,8913.74,8871.16,8888.54,13132.55,0,0
103/04/07,"8,844.91","8,876.44","8,828.59","8,876.44",103/04/07,"13,114.68",2014-04-07,8844.91,8876.44,8828.59,8876.44,13114.68,0,0
103/04/08,"8,878.88","8,899.12","8,860.70","8,888.25",103/04/08,"13,132.12",2014-04-08,8878.88,8899.12,8860.7,8888.25,13132.12,0,0
103/04/09,"8,912.39","8,936.57","8,912.39","8,930.57",103/04/09,"13,194.65",2014-04-09,8912.39,8936.57,8912.39,8930.57,13194.65,0,0
103/04/10,"8,964.34","8,978.52","8,898.30","8,948.10",103/04/10,"13,220.54",2014-04-10,8964.34,8978.52,8898.3,8948.1,13220.54,0,0
103/04/11,"8,900.13","8,909.97","8,848.24","8,908.05",103/04/11,"13,161.37",2014-04-11,8900.13,8909.97,8848.24,8908.05,13161.37,0,0
103/04/14,"8,897.23","8,899.51","8,852.66","8,857.42",103/04/14,"13,086.56",2014-04-14,8897.23,8899.51,8852.66,8857.42,13086.56,0,0
103/04/15,"8,898.65","8,918.94","8,889.44","8,916.71",103/04/15,"13,174.17",2014-04-15,8898.65,8918.94,8889.44,8916.71,13174.17,0,0
103/04/16,"8,921.07","8,968.56","8,894.29","8,923.82",103/04/16,"13,184.68",2014-04-16,8921.07,8968.56,8894.29,8923.82,13184.68,0,0
103/04/17,"8,942.23","8,962.66","8,921.56","8,944.16",103/04/17,"13,214.73",2014-04-17,8942.23,8962.66,8921.56,8944.16,13214.73,0,0
103/04/18,"8,994.77","9,002.70","8,945.56","8,966.66",103/04/18,"13,247.97",2014-04-18,8994.77,9002.7,8945.56,8966.66,13247.97,0,0
103/04/21,"8,961.52","8,965.58","8,938.47","8,951.19",103/04/21,"13,225.12",2014-04-21,8961.52,8965.58,8938.47,8951.19,13225.12,0,0
103/04/22,"8,956.22","8,989.06","8,955.19","8,974.71",103/04/22,"13,259.86",2014-04-22,8956.22,8989.06,8955.19,8974.71,13259.86,0,0
103/04/23,"9,009.59","9,022.28","8,947.86","8,956.92",103/04/23,"13,233.58",2014-04-23,9009.59,9022.28,8947.86,8956.92,13233.58,0,0
103/04/24,"8,968.82","8,971.94","8,926.55","8,945.45",103/04/24,"13,216.64",2014-04-24,8968.82,8971.94,8926.55,8945.45,13216.64,0,0
103/04/25,"8,945.81","8,951.06","8,749.51","8,774.12",103/04/25,"12,963.49",2014-04-25,8945.81,8951.06,8749.51,8774.12,12963.49,0,0
103/04/28,"8,680.14","8,825.93","8,671.65","8,809.71",103/04/28,"13,016.08",2014-04-28,8680.14,8825.93,8671.65,8809.71,13016.08,0,0
103/04/29,"8,845.60","8,884.48","8,833.37","8,872.11",103/04/29,"13,108.27",2014-04-29,8845.6,8884.48,8833.37,8872.11,13108.27,0,0
103/04/30,"8,885.70","8,890.09","8,791.44","8,791.44",103/04/30,"12,989.08",2014-04-30,8885.7,8890.09,8791.44,8791.44,12989.08,0,0
