Date,Close,Adj Close,Dividends,Stock Splits
2013-09-30 00:00:00+08:00,57.01,57.01,0,0
2013-09-27 00:00:00+08:00,57.66,57.66,0,0
2013-09-26 00:00:00+08:00,57.21,57.21,0,0
2013-09-25 00:00:00+08:00,57.92,57.92,0,0
2013-09-24 00:00:00+08:00,58.19,58.19,0,0
2013-09-23 00:00:00+08:00,58.21,58.21,0,0
2013-09-18 00:00:00+08:00,57.48,57.48,0,0
2013-09-17 00:00:00+08:00,57.98,57.98,0,0
2013-09-16 00:00:00+08:00,57.99,57.99,0,0
2013-09-14 00:00:00+08:00,56.99,56.99,0,0
2013-09-13 00:00:00+08:00,57.18,57.18,0,0
2013-09-12 00:00:00+08:00,57.69,57.69,0,0
2013-09-11 00:00:00+08:00,57.71,57.71,0,0
2013-09-10 00:00:00+08:00,57.73,57.73,0,0
2013-09-09 00:00:00+08:00,57.44,57.44,0,0
2013-09-06 00:00:00+08:00,57.0,57.0,0,0
2013-09-05 00:00:00+08:00,57.1,57.1,0,0
2013-09-04 00:00:00+08:00,56.58,56.58,0,0
2013-09-03 00:00:00+08:00,56.72,56.72,0,0
2013-09-02 00:00:00+08:00,56.4,56.4,0,0
