Date,Close,Adj Close,Dividends,Stock Splits
2025-09-22 00:00:00+08:00,134.34,134.34,0,0
2025-09-21 00:00:00+08:00,,,0,0
2025-09-20 00:00:00+08:00,,,0,0
2025-09-19 00:00:00+08:00,132.34,132.34,0,0
2025-09-18 00:00:00+08:00,133.78,133.78,0,0
2025-09-17 00:00:00+08:00,131.89,131.89,0,0
2025-09-16 00:00:00+08:00,133.17,133.17,0,0
2025-09-15 00:00:00+08:00,131.13,131.13,0,0
2025-09-14 00:00:00+08:00,,,0,0
2025-09-13 00:00:00+08:00,,,0,0
2025-09-12 00:00:00+08:00,131.67,131.67,0,0
2025-09-11 00:00:00+08:00,129.99,129.99,0,0
2025-09-10 00:00:00+08:00,128.98,128.98,0,0
2025-09-09 00:00:00+08:00,126.68,126.68,0,0
2025-09-08 00:00:00+08:00,124.55,124.55,0,0
2025-09-07 00:00:00+08:00,,,0,0
2025-09-06 00:00:00+08:00,,,0,0
2025-09-05 00:00:00+08:00,124.47,124.47,0,0
2025-09-04 00:00:00+08:00,122.56,122.56,0,0
2025-09-03 00:00:00+08:00,122.32,122.32,0,0
2025-09-02 00:00:00+08:00,122.12,122.12,0,0
2025-09-01 00:00:00+08:00,122.25,122.25,0,0
