日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
 93/03/01,"5,121.49","5,285.35",2004-03-01,5121.49,5285.35,0,0
 93/03/02,"5,203.66","5,370.14",2004-03-02,5203.66,5370.14,0,0
 93/03/03,"5,160.18","5,325.28",2004-03-03,5160.18,5325.28,0,0
 93/03/04,"5,216.26","5,383.15",2004-03-04,5216.26,5383.15,0,0
 93/03/05,"5,133.21","5,297.44",2004-03-05,5133.21,5297.44,0,0
 93/03/08,"5,089.66","5,252.50",2004-03-08,5089.66,5252.5,0,0
 93/03/09,"5,133.04","5,297.27",2004-03-09,5133.04,5297.27,0,0
 93/03/10,"5,039.35","5,200.58",2004-03-10,5039.35,5200.58,0,0
 93/03/11,"5,039.86","5,201.11",2004-03-11,5039.86,5201.11,0,0
 93/03/12,"4,950.50","5,108.89",2004-03-12,4950.5,5108.89,0,0
 93/03/15,"4,819.98","4,974.19",2004-03-15,4819.98,4974.19,0,0
 93/03/16,"4,803.64","4,957.32",2004-03-16,4803.64,4957.32,0,0
 93/03/17,"4,818.00","4,972.15",2004-03-17,4818.0,4972.15,0,0
 93/03/18,"4,985.81","5,145.33",2004-03-18,4985.81,5145.33,0,0
 93/03/19,"5,015.55","5,176.02",2004-03-19,5015.55,5176.02,0,0
 93/03/22,"4,680.30","4,830.04",2004-03-22,4680.3,4830.04,0,0
 93/03/23,"4,563.91","4,709.93",2004-03-23,4563.91,4709.93,0,0
 93/03/24,"4,635.77","4,784.09",2004-03-24,4635.77,4784.09,0,0
 93/03/25,"4,589.93","4,736.78",2004-03-25,4589.93,4736.78,0,0
 93/03/26,"4,591.81","4,738.72",2004-03-26,4591.81,4738.72,0,0
 93/03/29,"4,845.89","5,000.93",2004-03-29,4845.89,5000.93,0,0
 93/03/30,"4,827.83","4,982.29",2004-03-30,4827.83,4982.29,0,0
 93/03/31,"4,844.05","4,999.03",2004-03-31,4844.05,4999.03,0,0
