日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
100/04/01,"5,988.04","8,086.21",2011-04-01,5988.04,8086.21,0,0
100/04/06,"6,121.24","8,266.08",2011-04-06,6121.24,8266.08,0,0
100/04/07,"6,133.38","8,282.48",2011-04-07,6133.38,8282.48,0,0
100/04/08,"6,113.10","8,255.10",2011-04-08,6113.1,8255.1,0,0
100/04/11,"6,099.06","8,236.13",2011-04-11,6099.06,8236.13,0,0
100/04/12,"5,984.64","8,081.63",2011-04-12,5984.64,8081.63,0,0
100/04/13,"6,024.73","8,135.77",2011-04-13,6024.73,8135.77,0,0
100/04/14,"6,027.70","8,139.78",2011-04-14,6027.7,8139.78,0,0
100/04/15,"5,962.15","8,051.26",2011-04-15,5962.15,8051.26,0,0
100/04/18,"5,962.40","8,051.59",2011-04-18,5962.4,8051.59,0,0
100/04/19,"5,901.17","7,968.91",2011-04-19,5901.17,7968.91,0,0
100/04/20,"6,039.71","8,155.99",2011-04-20,6039.71,8155.99,0,0
100/04/21,"6,145.30","8,298.58",2011-04-21,6145.3,8298.58,0,0
100/04/22,"6,149.40","8,304.12",2011-04-22,6149.4,8304.12,0,0
100/04/25,"6,124.63","8,270.67",2011-04-25,6124.63,8270.67,0,0
100/04/26,"6,130.66","8,278.81",2011-04-26,6130.66,8278.81,0,0
100/04/27,"6,221.65","8,401.69",2011-04-27,6221.65,8401.69,0,0
100/04/28,"6,232.92","8,416.90",2011-04-28,6232.92,8416.9,0,0
100/04/29,"6,226.47","8,408.19",2011-04-29,6226.47,8408.19,0,0
