日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
106/12/01,"8,007.57","13,871.07",2017-12-01,8007.57,13871.07,0,0
106/12/04,"8,057.26","13,957.14",2017-12-04,8057.26,13957.14,0,0
106/12/05,"7,983.35","13,829.11",2017-12-05,7983.35,13829.11,0,0
106/12/06,"7,843.85","13,587.46",2017-12-06,7843.85,13587.46,0,0
106/12/07,"7,820.13","13,546.38",2017-12-07,7820.13,13546.38,0,0
106/12/08,"7,843.14","13,586.24",2017-12-08,7843.14,13586.24,0,0
106/12/11,"7,884.37","13,657.65",2017-12-11,7884.37,13657.65,0,0
106/12/12,"7,865.81","13,625.51",2017-12-12,7865.81,13625.51,0,0
106/12/13,"7,866.61","13,626.90",2017-12-13,7866.61,13626.9,0,0
106/12/14,"7,936.10","13,747.27",2017-12-14,7936.1,13747.27,0,0
106/12/15,"7,892.49","13,671.72",2017-12-15,7892.49,13671.72,0,0
106/12/18,"7,880.62","13,651.16",2017-12-18,7880.62,13651.16,0,0
106/12/19,"7,836.23","13,574.26",2017-12-19,7836.23,13574.26,0,0
106/12/20,"7,854.38","13,605.70",2017-12-20,7854.38,13605.7,0,0
106/12/21,"7,841.26","13,582.98",2017-12-21,7841.26,13582.98,0,0
106/12/22,"7,900.18","13,685.05",2017-12-22,7900.18,13685.05,0,0
106/12/25,"7,889.52","13,666.57",2017-12-25,7889.52,13666.57,0,0
106/12/26,"7,822.08","13,549.76",2017-12-26,7822.08,13549.76,0,0
106/12/27,"7,847.75","13,594.23",2017-12-27,7847.75,13594.23,0,0
106/12/28,"7,906.18","13,695.43",2017-12-28,7906.18,13695.43,0,0
106/12/29,"7,981.41","13,825.76",2017-12-29,7981.41,13825.76,0,0
