日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
113/01/02,"13,309.21","28,893.07",2024-01-02,13309.21,28893.07,0,0
113/01/03,"13,034.49","28,296.67",2024-01-03,13034.49,28296.67,0,0
113/01/04,"13,037.78","28,338.84",2024-01-04,13037.78,28338.84,0,0
113/01/05,"12,974.48","28,201.26",2024-01-05,12974.48,28201.26,0,0
113/01/08,"13,051.34","28,368.31",2024-01-08,13051.34,28368.31,0,0
113/01/09,"13,056.48","28,379.50",2024-01-09,13056.48,28379.5,0,0
113/01/10,"13,000.80","28,258.47",2024-01-10,13000.8,28258.47,0,0
113/01/11,"13,044.40","28,353.22",2024-01-11,13044.4,28353.22,0,0
113/01/12,"13,028.72","28,319.16",2024-01-12,13028.72,28319.16,0,0
