日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
108/03/04,"7,710.12","13,905.93",2019-03-04,7710.12,13905.93,0,0
108/03/05,"7,669.84","13,833.27",2019-03-05,7669.84,13833.27,0,0
108/03/06,"7,711.74","13,908.86",2019-03-06,7711.74,13908.86,0,0
108/03/07,"7,694.30","13,877.39",2019-03-07,7694.3,13877.39,0,0
108/03/08,"7,610.82","13,726.83",2019-03-08,7610.82,13726.83,0,0
108/03/11,"7,611.36","13,727.81",2019-03-11,7611.36,13727.81,0,0
108/03/12,"7,705.75","13,898.04",2019-03-12,7705.75,13898.04,0,0
108/03/13,"7,737.78","13,955.81",2019-03-13,7737.78,13955.81,0,0
108/03/14,"7,704.28","13,895.40",2019-03-14,7704.28,13895.4,0,0
108/03/15,"7,772.51","14,018.47",2019-03-15,7772.51,14018.47,0,0
108/03/18,"7,830.39","14,122.85",2019-03-18,7830.39,14122.85,0,0
108/03/19,"7,830.80","14,123.59",2019-03-19,7830.8,14123.59,0,0
108/03/20,"7,861.78","14,179.46",2019-03-20,7861.78,14179.46,0,0
108/03/21,"7,922.64","14,289.24",2019-03-21,7922.64,14289.24,0,0
108/03/22,"7,960.96","14,358.35",2019-03-22,7960.96,14358.35,0,0
108/03/25,"7,816.73","14,098.21",2019-03-25,7816.73,14098.21,0,0
108/03/26,"7,891.53","14,233.12",2019-03-26,7891.53,14233.12,0,0
108/03/27,"7,859.81","14,175.91",2019-03-27,7859.81,14175.91,0,0
108/03/28,"7,861.06","14,178.16",2019-03-28,7861.06,14178.16,0,0
108/03/29,"7,949.49","14,337.65",2019-03-29,7949.49,14337.65,0,0
