日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
101/09/03,"5,126.18","7,482.21",2012-09-03,5126.18,7482.21,0,0
101/09/04,"5,124.57","7,479.86",2012-09-04,5124.57,7479.86,0,0
101/09/05,"5,047.28","7,367.04",2012-09-05,5047.28,7367.04,0,0
101/09/06,"5,019.54","7,326.55",2012-09-06,5019.54,7326.55,0,0
101/09/07,"5,108.03","7,455.72",2012-09-07,5108.03,7455.72,0,0
101/09/10,"5,150.04","7,517.04",2012-09-10,5150.04,7517.04,0,0
101/09/11,"5,159.45","7,530.77",2012-09-11,5159.45,7530.77,0,0
101/09/12,"5,224.85","7,626.22",2012-09-12,5224.85,7626.22,0,0
101/09/13,"5,227.39","7,629.94",2012-09-13,5227.39,7629.94,0,0
101/09/14,"5,363.64","7,828.80",2012-09-14,5363.64,7828.8,0,0
101/09/17,"5,378.33","7,850.25",2012-09-17,5378.33,7850.25,0,0
101/09/18,"5,350.61","7,809.79",2012-09-18,5350.61,7809.79,0,0
101/09/19,"5,380.23","7,853.03",2012-09-19,5380.23,7853.03,0,0
101/09/20,"5,328.76","7,777.90",2012-09-20,5328.76,7777.9,0,0
101/09/21,"5,348.91","7,807.32",2012-09-21,5348.91,7807.32,0,0
101/09/24,"5,355.64","7,817.13",2012-09-24,5355.64,7817.13,0,0
101/09/25,"5,329.41","7,778.85",2012-09-25,5329.41,7778.85,0,0
101/09/26,"5,287.41","7,717.54",2012-09-26,5287.41,7717.54,0,0
101/09/27,"5,297.83","7,732.75",2012-09-27,5297.83,7732.75,0,0
101/09/28,"5,333.55","7,784.88",2012-09-28,5333.55,7784.88,0,0
