日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
100/09/01,"5,306.42","7,464.68",2011-09-01,5306.42,7464.68,0,0
100/09/02,"5,296.46","7,450.66",2011-09-02,5296.46,7450.66,0,0
100/09/05,"5,149.06","7,243.32",2011-09-05,5149.06,7243.32,0,0
100/09/06,"5,029.01","7,074.44",2011-09-06,5029.01,7074.44,0,0
100/09/07,"5,149.59","7,244.06",2011-09-07,5149.59,7244.06,0,0
100/09/08,"5,158.50","7,256.60",2011-09-08,5158.5,7256.6,0,0
100/09/09,"5,208.75","7,327.28",2011-09-09,5208.75,7327.28,0,0
100/09/13,"5,040.40","7,090.46",2011-09-13,5040.4,7090.46,0,0
100/09/14,"4,942.72","6,953.06",2011-09-14,4942.72,6953.06,0,0
100/09/15,"5,050.73","7,106.30",2011-09-15,5050.73,7106.3,0,0
100/09/16,"5,172.76","7,277.98",2011-09-16,5172.76,7277.98,0,0
100/09/19,"5,112.45","7,193.12",2011-09-19,5112.45,7193.12,0,0
100/09/20,"5,119.43","7,202.95",2011-09-20,5119.43,7202.95,0,0
100/09/21,"5,147.09","7,241.87",2011-09-21,5147.09,7241.87,0,0
100/09/22,"4,982.34","7,010.07",2011-09-22,4982.34,7010.07,0,0
100/09/23,"4,810.59","6,768.41",2011-09-23,4810.59,6768.41,0,0
100/09/26,"4,727.40","6,651.37",2011-09-26,4727.4,6651.37,0,0
100/09/27,"4,889.08","6,878.85",2011-09-27,4889.08,6878.85,0,0
100/09/28,"4,932.92","6,940.53",2011-09-28,4932.92,6940.53,0,0
100/09/29,"4,944.09","6,956.25",2011-09-29,4944.09,6956.25,0,0
100/09/30,"4,977.26","7,002.93",2011-09-30,4977.26,7002.93,0,0
