日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
113/05/02,"15,619.37","34,062.52",2024-05-02,15619.37,34062.52,0,0
113/05/03,"15,767.54","34,385.63",2024-05-03,15767.54,34385.63,0,0
113/05/06,"15,965.51","34,817.36",2024-05-06,15965.51,34817.36,0,0
113/05/07,"16,139.92","35,197.72",2024-05-07,16139.92,35197.72,0,0
113/05/08,"16,189.49","35,305.81",2024-05-08,16189.49,35305.81,0,0
113/05/09,"16,102.21","35,115.47",2024-05-09,16102.21,35115.47,0,0
113/05/10,"16,234.52","35,404.01",2024-05-10,16234.52,35404.01,0,0
113/05/13,"16,416.95","35,801.87",2024-05-13,16416.95,35801.87,0,0
113/05/14,"16,537.42","36,064.59",2024-05-14,16537.42,36064.59,0,0
113/05/15,"16,713.31","36,448.16",2024-05-15,16713.31,36448.16,0,0
113/05/16,"16,801.22","36,639.88",2024-05-16,16801.22,36639.88,0,0
113/05/17,"16,737.96","36,501.92",2024-05-17,16737.96,36501.92,0,0
113/05/20,"16,751.05","36,530.47",2024-05-20,16751.05,36530.47,0,0
113/05/21,"16,743.75","36,514.53",2024-05-21,16743.75,36514.53,0,0
113/05/22,"17,069.24","37,224.35",2024-05-22,17069.24,37224.35,0,0
113/05/23,"17,225.99","37,566.19",2024-05-23,17225.99,37566.19,0,0
113/05/24,"17,120.76","37,336.72",2024-05-24,17120.76,37336.72,0,0
113/05/27,"17,331.39","37,796.06",2024-05-27,17331.39,37796.06,0,0
113/05/28,"17,297.35","37,721.83",2024-05-28,17297.35,37721.83,0,0
113/05/29,"17,096.00","37,282.72",2024-05-29,17096.0,37282.72,0,0
113/05/30,"16,814.28","36,668.35",2024-05-30,16814.28,36668.35,0,0
