日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
105/10/03,"6,955.83","11,597.24",2016-10-03,6955.83,11597.24,0,0
105/10/04,"7,000.74","11,672.12",2016-10-04,7000.74,11672.12,0,0
105/10/05,"6,986.55","11,648.45",2016-10-05,6986.55,11648.45,0,0
105/10/06,"6,995.59","11,663.53",2016-10-06,6995.59,11663.53,0,0
105/10/07,"6,985.40","11,646.53",2016-10-07,6985.4,11646.53,0,0
105/10/11,"6,977.18","11,632.83",2016-10-11,6977.18,11632.83,0,0
105/10/12,"7,018.92","11,702.43",2016-10-12,7018.92,11702.43,0,0
105/10/13,"6,988.68","11,652.00",2016-10-13,6988.68,11652.0,0,0
105/10/14,"6,961.90","11,607.37",2016-10-14,6961.9,11607.37,0,0
105/10/17,"6,956.90","11,599.02",2016-10-17,6956.9,11599.02,0,0
105/10/18,"6,996.23","11,664.59",2016-10-18,6996.23,11664.59,0,0
105/10/19,"7,056.54","11,765.15",2016-10-19,7056.54,11765.15,0,0
105/10/20,"7,081.45","11,806.69",2016-10-20,7081.45,11806.69,0,0
105/10/21,"7,063.13","11,776.14",2016-10-21,7063.13,11776.14,0,0
105/10/24,"7,088.39","11,818.25",2016-10-24,7088.39,11818.25,0,0
105/10/25,"7,147.77","11,917.25",2016-10-25,7147.77,11917.25,0,0
105/10/26,"7,126.38","11,881.59",2016-10-26,7126.38,11881.59,0,0
105/10/27,"7,059.74","11,770.48",2016-10-27,7059.74,11770.48,0,0
105/10/28,"7,077.82","11,800.63",2016-10-28,7077.82,11800.63,0,0
105/10/31,"7,059.54","11,770.15",2016-10-31,7059.54,11770.15,0,0
