日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
 98/03/02,"3,213.13","4,051.00",2009-03-02,3213.13,4051.0,0,0
 98/03/03,"3,219.56","4,059.11",2009-03-03,3219.56,4059.11,0,0
 98/03/04,"3,293.85","4,152.78",2009-03-04,3293.85,4152.78,0,0
 98/03/05,"3,369.61","4,248.30",2009-03-05,3369.61,4248.3,0,0
 98/03/06,"3,392.38","4,276.99",2009-03-06,3392.38,4276.99,0,0
 98/03/09,"3,354.13","4,228.78",2009-03-09,3354.13,4228.78,0,0
 98/03/10,"3,362.68","4,239.56",2009-03-10,3362.68,4239.56,0,0
 98/03/11,"3,438.66","4,335.35",2009-03-11,3438.66,4335.35,0,0
 98/03/12,"3,424.79","4,317.87",2009-03-12,3424.79,4317.87,0,0
 98/03/13,"3,536.23","4,458.35",2009-03-13,3536.23,4458.35,0,0
 98/03/16,"3,574.84","4,507.03",2009-03-16,3574.84,4507.03,0,0
 98/03/17,"3,624.21","4,569.28",2009-03-17,3624.21,4569.28,0,0
 98/03/18,"3,629.77","4,576.30",2009-03-18,3629.77,4576.3,0,0
 98/03/19,"3,617.41","4,560.71",2009-03-19,3617.41,4560.71,0,0
 98/03/20,"3,552.39","4,478.73",2009-03-20,3552.39,4478.73,0,0
 98/03/23,"3,675.16","4,633.52",2009-03-23,3675.16,4633.52,0,0
 98/03/24,"3,759.70","4,740.10",2009-03-24,3759.7,4740.1,0,0
 98/03/25,"3,820.88","4,817.23",2009-03-25,3820.88,4817.23,0,0
 98/03/26,"3,831.95","4,831.20",2009-03-26,3831.95,4831.2,0,0
 98/03/27,"3,813.63","4,808.10",2009-03-27,3813.63,4808.1,0,0
 98/03/30,"3,698.45","4,662.89",2009-03-30,3698.45,4662.89,0,0
 98/03/31,"3,701.32","4,666.50",2009-03-31,3701.32,4666.5,0,0
