日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
 97/06/02,"6,276.37","7,491.52",2008-06-02,6276.37,7491.52,0,0
 97/06/03,"6,146.05","7,335.97",2008-06-03,6146.05,7335.97,0,0
 97/06/04,"6,176.95","7,372.85",2008-06-04,6176.95,7372.85,0,0
 97/06/05,"6,252.53","7,463.06",2008-06-05,6252.53,7463.06,0,0
 97/06/06,"6,249.42","7,459.35",2008-06-06,6249.42,7459.35,0,0
 97/06/09,"6,113.93","7,297.62",2008-06-09,6113.93,7297.62,0,0
 97/06/10,"5,957.88","7,111.37",2008-06-10,5957.88,7111.37,0,0
 97/06/11,"5,999.92","7,161.54",2008-06-11,5999.92,7161.54,0,0
 97/06/12,"5,834.71","6,964.35",2008-06-12,5834.71,6964.35,0,0
 97/06/13,"5,867.75","7,003.78",2008-06-13,5867.75,7003.78,0,0
 97/06/16,"5,916.24","7,061.66",2008-06-16,5916.24,7061.66,0,0
 97/06/17,"5,936.58","7,085.95",2008-06-17,5936.58,7085.95,0,0
 97/06/18,"5,938.04","7,092.11",2008-06-18,5938.04,7092.11,0,0
 97/06/19,"5,807.02","6,935.62",2008-06-19,5807.02,6935.62,0,0
 97/06/20,"5,718.29","6,829.65",2008-06-20,5718.29,6829.65,0,0
 97/06/23,"5,726.98","6,840.02",2008-06-23,5726.98,6840.02,0,0
 97/06/24,"5,641.62","6,738.08",2008-06-24,5641.62,6738.08,0,0
 97/06/25,"5,730.89","6,864.04",2008-06-25,5730.89,6864.04,0,0
 97/06/26,"5,680.84","6,804.09",2008-06-26,5680.84,6804.09,0,0
 97/06/27,"5,505.35","6,593.91",2008-06-27,5505.35,6593.91,0,0
 97/06/30,"5,525.45","6,617.98",2008-06-30,5525.45,6617.98,0,0
