日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
109/02/03,"8,868.43","16,749.68",2020-02-03,8868.43,16749.68,0,0
109/02/04,"9,047.31","17,087.53",2020-02-04,9047.31,17087.53,0,0
109/02/05,"9,078.32","17,146.10",2020-02-05,9078.32,17146.1,0,0
109/02/06,"9,205.55","17,386.39",2020-02-06,9205.55,17386.39,0,0
109/02/07,"9,107.84","17,201.85",2020-02-07,9107.84,17201.85,0,0
109/02/10,"9,092.20","17,172.32",2020-02-10,9092.2,17172.32,0,0
109/02/11,"9,162.15","17,304.43",2020-02-11,9162.15,17304.43,0,0
109/02/12,"9,247.81","17,466.22",2020-02-12,9247.81,17466.22,0,0
109/02/13,"9,268.42","17,505.13",2020-02-13,9268.42,17505.13,0,0
109/02/14,"9,274.14","17,515.94",2020-02-14,9274.14,17515.94,0,0
109/02/17,"9,222.96","17,419.29",2020-02-17,9222.96,17419.29,0,0
109/02/18,"9,089.42","17,167.07",2020-02-18,9089.42,17167.07,0,0
109/02/19,"9,184.04","17,345.77",2020-02-19,9184.04,17345.77,0,0
109/02/20,"9,145.60","17,273.17",2020-02-20,9145.6,17273.17,0,0
109/02/21,"9,118.72","17,222.40",2020-02-21,9118.72,17222.4,0,0
109/02/24,"8,988.45","16,976.37",2020-02-24,8988.45,16976.37,0,0
109/02/25,"9,009.66","17,016.42",2020-02-25,9009.66,17016.42,0,0
109/02/26,"8,915.51","16,838.61",2020-02-26,8915.51,16838.61,0,0
109/02/27,"8,832.14","16,681.15",2020-02-27,8832.14,16681.15,0,0
