日期,臺灣50指數,臺灣50報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
107/08/01,"8,397.14","15,046.45",2018-08-01,8397.14,15046.45,0,0
107/08/02,"8,256.36","14,816.60",2018-08-02,8256.36,14816.6,0,0
107/08/03,"8,327.96","14,946.81",2018-08-03,8327.96,14946.81,0,0
107/08/06,"8,328.19","14,947.22",2018-08-06,8328.19,14947.22,0,0
107/08/07,"8,290.50","14,879.58",2018-08-07,8290.5,14879.58,0,0
107/08/08,"8,381.17","15,044.01",2018-08-08,8381.17,15044.01,0,0
107/08/09,"8,347.64","14,997.91",2018-08-09,8347.64,14997.91,0,0
107/08/10,"8,312.05","14,954.07",2018-08-10,8312.05,14954.07,0,0
107/08/13,"8,134.16","14,634.04",2018-08-13,8134.16,14634.04,0,0
107/08/14,"8,197.43","14,747.86",2018-08-14,8197.43,14747.86,0,0
107/08/15,"8,120.28","14,613.49",2018-08-15,8120.28,14613.49,0,0
107/08/16,"8,087.49","14,564.44",2018-08-16,8087.49,14564.44,0,0
107/08/17,"8,100.31","14,587.53",2018-08-17,8100.31,14587.53,0,0
107/08/20,"8,121.14","14,625.05",2018-08-20,8121.14,14625.05,0,0
107/08/21,"8,184.23","14,744.42",2018-08-21,8184.23,14744.42,0,0
107/08/22,"8,198.71","14,774.98",2018-08-22,8198.71,14774.98,0,0
107/08/23,"8,255.41","14,877.16",2018-08-23,8255.41,14877.16,0,0
107/08/24,"8,219.25","14,812.00",2018-08-24,8219.25,14812.0,0,0
107/08/27,"8,278.49","14,918.74",2018-08-27,8278.49,14918.74,0,0
107/08/28,"8,365.05","15,074.74",2018-08-28,8365.05,15074.74,0,0
107/08/29,"8,496.74","15,312.07",2018-08-29,8496.74,15312.07,0,0
107/08/30,"8,513.22","15,344.17",2018-08-30,8513.22,15344.17,0,0
107/08/31,"8,451.53","15,232.99",2018-08-31,8451.53,15232.99,0,0
