Date,Close,Adj Close,Dividends,Stock Splits
2025-08-31 00:00:00+08:00,,,0,0
2025-08-30 00:00:00+08:00,,,0,0
2025-08-29 00:00:00+08:00,31.5,31.5,0,0
2025-08-28 00:00:00+08:00,31.56,31.56,0,0
2025-08-27 00:00:00+08:00,32.12,32.12,0,0
2025-08-26 00:00:00+08:00,31.82,31.82,0,0
2025-08-25 00:00:00+08:00,31.78,31.78,0,0
2025-08-24 00:00:00+08:00,,,0,0
2025-08-23 00:00:00+08:00,,,0,0
2025-08-22 00:00:00+08:00,31.02,31.02,0,0
2025-08-21 00:00:00+08:00,31.35,31.35,0,0
2025-08-20 00:00:00+08:00,30.95,30.95,0,0
2025-08-19 00:00:00+08:00,32.05,32.05,0,0
2025-08-18 00:00:00+08:00,32.16,32.16,0,0
2025-08-17 00:00:00+08:00,,,0,0
2025-08-16 00:00:00+08:00,,,0,0
2025-08-15 00:00:00+08:00,32.04,32.04,0,0
2025-08-14 00:00:00+08:00,31.91,31.91,0,0
2025-08-13 00:00:00+08:00,32.25,32.25,0,0
2025-08-12 00:00:00+08:00,31.86,31.86,0,0
2025-08-11 00:00:00+08:00,31.83,31.83,0,0
2025-08-10 00:00:00+08:00,,,0,0
2025-08-09 00:00:00+08:00,,,0,0
2025-08-08 00:00:00+08:00,31.67,31.67,0,0
2025-08-07 00:00:00+08:00,31.7,31.7,0,0
2025-08-06 00:00:00+08:00,30.68,30.68,0,0
2025-08-05 00:00:00+08:00,31.1,31.1,0,0
2025-08-04 00:00:00+08:00,30.68,30.68,0,0
2025-08-03 00:00:00+08:00,,,0,0
2025-08-02 00:00:00+08:00,,,0,0
2025-08-01 00:00:00+08:00,30.77,30.77,0,0
