Date,Close,Adj Close,Dividends,Stock Splits
2022-01-31 00:00:00+08:00,,,0,0
2022-01-30 00:00:00+08:00,,,0,0
2022-01-29 00:00:00+08:00,,,0,0
2022-01-28 00:00:00+08:00,,,0,0
2022-01-27 00:00:00+08:00,,,0,0
2022-01-26 00:00:00+08:00,19.4,19.4,0,0
2022-01-25 00:00:00+08:00,19.49,19.49,0,0
2022-01-24 00:00:00+08:00,19.8,19.8,0,0
2022-01-23 00:00:00+08:00,,,0,0
2022-01-22 00:00:00+08:00,,,0,0
2022-01-21 00:00:00+08:00,19.61,19.61,0,0
2022-01-20 00:00:00+08:00,19.93,19.93,0,0
2022-01-19 00:00:00+08:00,19.98,19.98,0,0
2022-01-18 00:00:00+08:00,20.17,20.17,0,0
2022-01-17 00:00:00+08:00,20.46,20.46,0,0
2022-01-16 00:00:00+08:00,,,0,0
2022-01-15 00:00:00+08:00,,,0,0
2022-01-14 00:00:00+08:00,20.28,20.28,0,0
2022-01-13 00:00:00+08:00,20.25,20.25,0,0
2022-01-12 00:00:00+08:00,20.17,20.17,0,0
2022-01-11 00:00:00+08:00,20.02,20.02,0,0
2022-01-10 00:00:00+08:00,19.87,19.87,0,0
2022-01-09 00:00:00+08:00,,,0,0
2022-01-08 00:00:00+08:00,,,0,0
2022-01-07 00:00:00+08:00,19.76,19.76,0,0
2022-01-06 00:00:00+08:00,19.99,19.99,0,0
2022-01-05 00:00:00+08:00,20.17,20.17,0,0
2022-01-04 00:00:00+08:00,20.2,20.2,0,0
2022-01-03 00:00:00+08:00,19.77,19.77,0,0
2022-01-02 00:00:00+08:00,,,0,0
2022-01-01 00:00:00+08:00,,,0,0
