Date,Close,Adj Close,Dividends,Stock Splits
2022-09-30 00:00:00+08:00,14.44,14.44,0,0
2022-09-29 00:00:00+08:00,14.66,14.66,0,0
2022-09-28 00:00:00+08:00,14.67,14.67,0,0
2022-09-27 00:00:00+08:00,15.01,15.01,0,0
2022-09-26 00:00:00+08:00,14.99,14.99,0,0
2022-09-25 00:00:00+08:00,,,0,0
2022-09-24 00:00:00+08:00,,,0,0
2022-09-23 00:00:00+08:00,15.29,15.29,0,0
2022-09-22 00:00:00+08:00,15.49,15.49,0,0
2022-09-21 00:00:00+08:00,15.69,15.69,0,0
2022-09-20 00:00:00+08:00,15.82,15.82,0,0
2022-09-19 00:00:00+08:00,15.66,15.66,0,0
2022-09-18 00:00:00+08:00,,,0,0
2022-09-17 00:00:00+08:00,,,0,0
2022-09-16 00:00:00+08:00,15.78,15.78,0,0
2022-09-15 00:00:00+08:00,15.92,15.92,0,0
2022-09-14 00:00:00+08:00,15.89,15.89,0,0
2022-09-13 00:00:00+08:00,16.23,16.23,0,0
2022-09-12 00:00:00+08:00,16.11,16.11,0,0
2022-09-11 00:00:00+08:00,,,0,0
2022-09-10 00:00:00+08:00,,,0,0
2022-09-09 00:00:00+08:00,,,0,0
2022-09-08 00:00:00+08:00,15.82,15.82,0,0
2022-09-07 00:00:00+08:00,15.69,15.69,0,0
2022-09-06 00:00:00+08:00,16.07,16.07,0,0
2022-09-05 00:00:00+08:00,15.98,15.98,0,0
2022-09-04 00:00:00+08:00,,,0,0
2022-09-03 00:00:00+08:00,,,0,0
2022-09-02 00:00:00+08:00,15.93,15.93,0,0
2022-09-01 00:00:00+08:00,16.11,16.11,0,0
