Date,Close,Adj Close,Dividends,Stock Splits
2023-05-31 00:00:00+08:00,18.01,18.01,0,0
2023-05-30 00:00:00+08:00,18.15,18.15,0,0
2023-05-29 00:00:00+08:00,18.15,18.15,0,0
2023-05-28 00:00:00+08:00,,,0,0
2023-05-27 00:00:00+08:00,,,0,0
2023-05-26 00:00:00+08:00,18.06,18.06,0,0
2023-05-25 00:00:00+08:00,17.66,17.66,0,0
2023-05-24 00:00:00+08:00,17.42,17.42,0,0
2023-05-23 00:00:00+08:00,17.51,17.51,0,0
2023-05-22 00:00:00+08:00,17.52,17.52,0,0
2023-05-21 00:00:00+08:00,,,0,0
2023-05-20 00:00:00+08:00,,,0,0
2023-05-19 00:00:00+08:00,17.55,17.55,0,0
2023-05-18 00:00:00+08:00,17.48,17.48,0,0
2023-05-17 00:00:00+08:00,17.24,17.24,0,0
2023-05-16 00:00:00+08:00,16.93,16.93,0,0
2023-05-15 00:00:00+08:00,16.71,16.71,0,0
2023-05-14 00:00:00+08:00,,,0,0
2023-05-13 00:00:00+08:00,,,0,0
2023-05-12 00:00:00+08:00,16.71,16.71,0,0
2023-05-11 00:00:00+08:00,16.79,16.79,0,0
2023-05-10 00:00:00+08:00,16.89,16.89,0,0
2023-05-09 00:00:00+08:00,17.03,17.03,0,0
2023-05-08 00:00:00+08:00,16.92,16.92,0,0
2023-05-07 00:00:00+08:00,,,0,0
2023-05-06 00:00:00+08:00,,,0,0
2023-05-05 00:00:00+08:00,16.83,16.83,0,0
2023-05-04 00:00:00+08:00,16.78,16.78,0,0
2023-05-03 00:00:00+08:00,16.73,16.73,0,0
2023-05-02 00:00:00+08:00,16.82,16.82,0,0
2023-05-01 00:00:00+08:00,,,0,0
