類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,536184,0.08%,839711,0.13%,845282,0.13%,84530,0.01%,0,0.00%,16125,0.00%,2321832,0.35%
AA1,1050148,兆豐國際國民基金,263482,0.06%,374586,0.09%,551618,0.13%,62519,0.01%,0,0.00%,16115,0.00%,1268320,0.29%
AA2,992769,兆豐國際全球基金,1049337,0.08%,445596,0.03%,1779885,0.13%,308514,0.02%,0,0.00%,101722,0.01%,3685054,0.26%
AB1,971976,兆豐國際萬全基金,64960,0.02%,85180,0.03%,346128,0.10%,34616,0.01%,0,0.00%,23598,0.01%,554482,0.16%
AA1,92003790,兆豐國際精選二十基金,119966,0.03%,204783,0.05%,524440,0.13%,48947,0.01%,0,0.00%,16110,0.00%,914246,0.22%
AA1,81584996,兆豐國際中小基金,577244,0.10%,1026151,0.17%,764809,0.13%,66284,0.01%,0,0.00%,13114,0.00%,2447602,0.41%
AA1,73991751,兆豐國際電子基金,220247,0.04%,357119,0.06%,740189,0.13%,78952,0.01%,0,0.00%,15010,0.00%,1411517,0.24%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,14583726,0.02%,2599360,0.00%,0,0.00%,7041134,0.01%,24224220,0.04%
AA2,14699772,兆豐國際生命科學基金,235397,0.07%,6523,0.00%,491683,0.14%,75199,0.02%,0,0.00%,68967,0.02%,877769,0.26%
AA1,10341837,兆豐國際豐台灣基金,291704,0.06%,444483,0.09%,647374,0.14%,60691,0.01%,0,0.00%,3210,0.00%,1447462,0.30%
AA2,25600852,兆豐國際巨龍領航基金,106612,0.07%,68353,0.04%,249899,0.15%,36095,0.02%,0,0.00%,2176,0.00%,463135,0.28%
