類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,11827170,1.00%,17484288,1.48%,17728210,1.50%,1772816,0.15%,0,0.00%,150346,0.01%,48962830,4.14%
AA1,1050148,兆豐國際國民基金,7215328,1.30%,10801966,1.94%,8340709,1.50%,945285,0.17%,0,0.00%,180819,0.03%,27484107,4.94%
AA2,992769,兆豐國際全球基金,15705666,0.90%,3067303,0.18%,26152252,1.50%,4533773,0.26%,0,0.00%,4991741,0.29%,54450735,3.12%
AB1,971976,兆豐國際萬全基金,4566927,1.09%,6610174,1.57%,5032250,1.20%,503216,0.12%,0,0.00%,346689,0.08%,17059256,4.06%
AA1,92003790,兆豐國際精選二十基金,5431208,0.97%,8128323,1.46%,8369445,1.50%,781142,0.14%,0,0.00%,138949,0.02%,22849067,4.10%
AA1,81584996,兆豐國際中小基金,9704714,1.03%,14438307,1.53%,14173128,1.50%,1228336,0.13%,0,0.00%,17064,0.00%,39561549,4.19%
AA1,73991751,兆豐國際電子基金,5341971,0.63%,7906332,0.93%,12703238,1.50%,1355009,0.16%,0,0.00%,19467,0.00%,27326017,3.23%
AC11,18044796,兆豐國際寶鑽債券基金,0,0.00%,0,0.00%,129535389,0.25%,31088490,0.06%,0,0.00%,35256942,0.07%,195880821,0.38%
AA2,14699772,兆豐國際生命科學基金,7686029,2.16%,2277982,0.64%,6059934,1.70%,926809,0.26%,0,0.00%,202149,0.06%,17152903,4.81%
AA1,10341837,兆豐國際豐台灣基金,3280920,0.99%,4734153,1.43%,5311058,1.60%,497914,0.15%,0,0.00%,7080,0.00%,13831125,4.17%
AA2,25600852,兆豐國際巨龍領航基金,7725875,0.60%,4480018,0.35%,11637460,0.90%,1680969,0.13%,0,0.00%,69244,0.01%,25593566,1.97%
AA1,968521,第一金福元基金,8794204,1.55%,9636867,1.70%,8504832,1.50%,1133829,0.20%,0,0.00%,184177,0.03%,28253909,4.98%
AC11,1032249,第一金全家福基金,0,0.00%,0,0.00%,87970541,0.16%,33388163,0.06%,0,0.00%,32618129,0.06%,153976833,0.28%
AA1,1032803,第一金萬得福基金,8961578,1.17%,10177372,1.33%,11502904,1.50%,1150112,0.15%,0,0.00%,108343,0.01%,31900309,4.16%
AA2,92010461,第一金馬來西亞基金,1673342,0.27%,480521,0.08%,10997934,1.75%,1633802,0.26%,0,0.00%,2682272,0.43%,17467871,2.78%
AA1,97980043,第一金福王基金,5402622,0.99%,5842178,1.07%,8720752,1.60%,817409,0.15%,0,0.00%,5019,0.00%,20787980,3.81%
AC11,20081472,第一金台灣債券基金,0,0.00%,0,0.00%,85174978,0.25%,13627854,0.04%,0,0.00%,23106791,0.07%,121909623,0.36%
AA1,20092528,第一金店頭市場基金,6481441,0.94%,6886963,1.00%,11042184,1.60%,1035181,0.15%,0,0.00%,5750,0.00%,25451519,3.68%
AA2,81593453,第一金全球台商基金,3322611,0.53%,2820783,0.45%,10047170,1.59%,1513597,0.24%,0,0.00%,191045,0.03%,17895206,2.83%
AA1,73989002,第一金小型精選基金,12764341,1.43%,14375702,1.61%,14276433,1.60%,1338247,0.15%,0,0.00%,6274,0.00%,42760997,4.79%
AA1,19341318,第一金電子基金,9444063,1.40%,10329257,1.53%,10776464,1.60%,1010115,0.15%,0,0.00%,19550,0.00%,31579449,4.68%
AA2,17612378,第一金亞洲科技基金,3895719,0.64%,2119128,0.35%,10673246,1.75%,1585589,0.26%,0,0.00%,598969,0.10%,18872651,3.09%
AA1,15739619,第一金大中華基金,6453241,0.53%,6900063,0.57%,19305771,1.60%,1809740,0.15%,0,0.00%,33370,0.00%,34502185,2.85%
AB1,99353151,第一金中概平衡基金,3877659,0.64%,4183187,0.69%,7230380,1.20%,722878,0.12%,0,0.00%,257005,0.04%,16271109,2.70%
AA2,48712350,第一金旗艦基金,4084729,0.62%,4229529,0.64%,11621930,1.75%,1593676,0.24%,0,0.00%,253616,0.04%,21783480,3.28%
AB2,48795540,第一金歐洲動力平衡基金,499043,0.16%,138171,0.04%,4687877,1.50%,656304,0.21%,0,0.00%,5911,0.00%,5987306,1.92%
AB1,48836922,第一金策略平衡基金,1663712,0.76%,1776283,0.81%,2636480,1.20%,263493,0.12%,0,0.00%,126432,0.06%,6466400,2.94%
AG,48892846,第一金全球不動產化基金,3546022,0.68%,678713,0.13%,9168583,1.75%,1205023,0.23%,0,0.00%,41201,0.01%,14639542,2.79%
AA1,48929409,第一金台灣成長基金,13980963,1.17%,15761759,1.32%,19067533,1.60%,1906595,0.16%,0,0.00%,29153,0.00%,50746003,4.26%
AA1,10300195,第一金金鑽基金,6542429,1.08%,7359977,1.22%,9690185,1.60%,968847,0.16%,0,0.00%,20750,0.00%,24582188,4.06%
AA2,10338642,第一金全球大趨勢基金,2237810,0.48%,1434774,0.31%,8569548,1.85%,1111542,0.24%,0,0.00%,1224377,0.26%,14578051,3.14%
AC21,25593418,第一金全球高收益債券基金,0,0.00%,0,0.00%,29554827,0.92%,3349541,0.10%,0,0.00%,6500,0.00%,32910868,1.03%
AA2,25620512,第一金中國世紀基金,8918219,0.17%,5386844,0.10%,18918499,0.35%,2627531,0.05%,0,0.00%,49918,0.00%,35901011,0.66%
AA1,989005,匯豐匯豐基金,1456565,0.49%,1861437,0.63%,4423400,1.50%,589794,0.20%,0,0.00%,139323,0.05%,8470519,2.87%
AA1,1050013,匯豐成長基金,2411604,0.57%,3117612,0.73%,6389391,1.50%,851924,0.20%,0,0.00%,51961,0.01%,12822492,3.01%
AB1,971080,匯豐安富基金,5528237,0.34%,7401176,0.45%,19707278,1.20%,2873973,0.18%,0,0.00%,498635,0.03%,36009299,2.19%
