類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,2976515,0.48%,4505397,0.73%,9293141,1.50%,929312,0.15%,0,0.00%,160692,0.03%,17865057,2.88%
AA1,1050148,兆豐國際國民基金,1950904,0.41%,2901272,0.61%,7164603,1.50%,811993,0.17%,0,0.00%,257901,0.05%,13086673,2.74%
AA2,992769,兆豐國際全球基金,23214203,1.51%,8633941,0.56%,23074710,1.50%,3999616,0.26%,0,0.00%,3434840,0.22%,62357310,4.05%
AB1,971976,兆豐國際萬全基金,961876,0.30%,1457052,0.45%,3906309,1.20%,390637,0.12%,0,0.00%,306034,0.09%,7021908,2.16%
AA1,92003790,兆豐國際精選二十基金,1065424,0.26%,1767482,0.43%,6203197,1.50%,578967,0.14%,0,0.00%,155609,0.04%,9770679,2.36%
AA1,81584996,兆豐國際中小基金,3141154,0.54%,4846022,0.83%,8724565,1.50%,756132,0.13%,0,0.00%,21616,0.00%,17489489,3.01%
AA1,73991751,兆豐國際電子基金,2355984,0.37%,3629871,0.56%,9643043,1.50%,1028593,0.16%,0,0.00%,47304,0.01%,16704795,2.60%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,122839967,0.18%,30715361,0.04%,0,0.00%,68188465,0.10%,221743793,0.32%
AA2,14699772,兆豐國際生命科學基金,4083201,1.27%,420400,0.13%,5447286,1.70%,833112,0.26%,0,0.00%,1082785,0.34%,11866784,3.70%
AA1,10341837,兆豐國際豐台灣基金,1008655,0.18%,1582983,0.28%,9013291,1.60%,844996,0.15%,0,0.00%,7744,0.00%,12457669,2.21%
AA2,25637773,兆豐國際綠鑽基金,2338703,1.33%,452328,0.26%,3176101,1.80%,458770,0.26%,0,0.00%,551963,0.31%,6977865,3.95%
AA2,26278352,兆豐國際全球高股息基金,9681194,1.21%,4153907,0.52%,14455795,1.80%,2248672,0.28%,0,0.00%,2141717,0.27%,32681285,4.07%
AA2,26299315,兆豐國際民生動力基金,12206068,1.45%,4733505,0.56%,16811863,2.00%,2185538,0.26%,0,0.00%,1840399,0.22%,37777373,4.49%
AE22,31829638,兆豐國際全球債券組合基金,50093,0.01%,397,0.00%,9088595,1.00%,1090625,0.12%,0,0.00%,27218,0.00%,10256928,1.13%
AC23,31923107,兆豐國際新興市場高收益債券基金,0,0.00%,0,0.00%,65249272,1.66%,9424898,0.24%,0,0.00%,148905,0.00%,74823075,1.90%
AA1,968521,第一金福元基金,928039,0.23%,1449690,0.36%,6108025,1.50%,814248,0.20%,0,0.00%,109166,0.03%,9409168,2.31%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,33135418,0.10%,19183271,0.06%,0,0.00%,21919983,0.07%,74238672,0.22%
AA1,1032803,第一金萬得福基金,1467557,0.36%,2307422,0.57%,6120379,1.50%,611875,0.15%,0,0.00%,110082,0.03%,10617315,2.60%
AA2,92010461,第一金馬來西亞基金,1586508,0.32%,719403,0.14%,8772387,1.75%,1303341,0.26%,0,0.00%,185308,0.04%,12566947,2.51%
AA1,97980043,第一金福王基金,1521431,0.35%,2297352,0.53%,6900540,1.60%,646760,0.15%,0,0.00%,5064,0.00%,11371147,2.64%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,15011214,0.10%,6004386,0.04%,0,0.00%,9321970,0.06%,30337570,0.20%
