類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,10098457,0.88%,15785513,1.38%,17186730,1.50%,1718676,0.15%,0,0.00%,169013,0.01%,44958389,3.92%
AA1,1050148,兆豐國際國民基金,4717914,0.78%,7168370,1.18%,9131515,1.50%,1034901,0.17%,0,0.00%,193341,0.03%,22246041,3.65%
AA2,992769,兆豐國際全球基金,16776626,0.89%,6741516,0.36%,28212892,1.50%,4890962,0.26%,0,0.00%,1806142,0.10%,58428138,3.10%
AB1,971976,兆豐國際萬全基金,3281145,0.56%,5328051,0.90%,7094432,1.20%,709442,0.12%,0,0.00%,402603,0.07%,16815673,2.84%
AA1,92003790,兆豐國際精選二十基金,3354843,0.61%,5174141,0.94%,8236812,1.50%,768765,0.14%,0,0.00%,152269,0.03%,17686830,3.22%
AA1,81584996,兆豐國際中小基金,5908987,0.58%,9212160,0.90%,15413954,1.50%,1335868,0.13%,0,0.00%,19745,0.00%,31890714,3.10%
AA1,73991751,兆豐國際電子基金,8414200,1.06%,12746394,1.60%,11930654,1.50%,1272608,0.16%,0,0.00%,8611,0.00%,34372467,4.32%
AD1,18044796,兆豐國際寶鑽債券基金,0,0.00%,0,0.00%,143089612,0.25%,33350867,0.06%,0,0.00%,47344891,0.08%,223785370,0.39%
AA2,14699772,兆豐國際生命科學基金,4024709,1.04%,586582,0.15%,6556956,1.70%,1002821,0.26%,0,0.00%,1243072,0.32%,13414140,3.48%
AA1,10341837,兆豐國際豐台灣基金,2158665,0.52%,3286002,0.78%,6698018,1.60%,627943,0.15%,0,0.00%,5367,0.00%,12775995,3.05%
AA2,25600852,兆豐國際巨龍領航基金,6085309,1.47%,3970872,0.96%,7446936,1.80%,1075668,0.26%,0,0.00%,555957,0.13%,19134742,4.63%
AA2,25637773,兆豐國際綠鑽基金,10689668,0.68%,5560210,0.35%,22443060,1.43%,3241775,0.21%,0,0.00%,1688020,0.11%,43622733,2.78%
AE23,25685824,兆豐國際ETF趨勢組合基金,1987818,0.31%,158790,0.02%,3907043,0.61%,459079,0.07%,0,0.00%,311629,0.05%,6824359,1.07%
AA2,26278352,兆豐國際全球高股息基金,0,0.00%,0,0.00%,760415,0.02%,118287,0.00%,0,0.00%,14312,0.00%,893014,0.03%
AA1,968521,第一金福元基金,6892173,1.33%,8692266,1.68%,7747453,1.50%,1032840,0.20%,0,0.00%,115176,0.02%,24479908,4.74%
AD1,1032249,第一金全家福基金,0,0.00%,0,0.00%,59254930,0.14%,24175462,0.06%,0,0.00%,20475979,0.05%,103906371,0.25%
AA1,1032803,第一金萬得福基金,9144292,1.42%,11513090,1.78%,9684379,1.50%,968272,0.15%,0,0.00%,196652,0.03%,31506685,4.88%
AA2,92010461,第一金馬來西亞基金,2039600,0.27%,675703,0.09%,13327033,1.75%,1979839,0.26%,0,0.00%,3072763,0.40%,21094938,2.77%
AA1,97980043,第一金福王基金,5401656,0.96%,6857637,1.22%,9004659,1.60%,844022,0.15%,0,0.00%,1106,0.00%,22109080,3.93%
AD1,20081472,第一金台灣債券基金,0,0.00%,0,0.00%,38020166,0.20%,7764939,0.04%,0,0.00%,10589611,0.05%,56374716,0.29%
AA1,20092528,第一金店頭市場基金,7001134,0.78%,8833902,0.98%,14410144,1.60%,1350797,0.15%,0,0.00%,6154,0.00%,31602131,3.51%
AA2,81593453,第一金全球台商基金,2242052,0.34%,2236897,0.34%,10527144,1.60%,1578925,0.24%,0,0.00%,149344,0.02%,16734362,2.54%
AA1,73989002,第一金小型精選基金,6245842,0.80%,7860373,1.01%,12434925,1.60%,1165603,0.15%,0,0.00%,4587,0.00%,27711330,3.57%
AA1,19341318,第一金電子基金,4693840,0.67%,5817623,0.83%,11156348,1.60%,1045729,0.15%,0,0.00%,5122,0.00%,22718662,3.26%
AA2,17612378,第一金亞洲科技基金,3646460,0.56%,2387792,0.37%,11430306,1.75%,1698063,0.26%,0,0.00%,637564,0.10%,19800185,3.03%
AA1,15739619,第一金大中華基金,6380583,0.48%,8395473,0.63%,21248874,1.60%,1991918,0.15%,0,0.00%,7509,0.00%,38024357,2.87%
AB1,99353151,第一金中概平衡基金,2309968,0.46%,2990931,0.59%,6089745,1.20%,608813,0.12%,0,0.00%,225651,0.04%,12225108,2.41%
AA2,48712350,第一金旗艦基金,3148428,0.47%,3872396,0.58%,11681983,1.75%,1601918,0.24%,0,0.00%,198158,0.03%,20502883,3.07%
AB2,48795540,第一金歐洲動力平衡基金,679957,0.29%,122865,0.05%,3537942,1.50%,495318,0.21%,0,0.00%,5183,0.00%,4841265,2.05%
AG,48892846,第一金全球不動產證券化基金,705574,0.13%,188620,0.04%,9422269,1.75%,1238353,0.23%,0,0.00%,4740,0.00%,11559556,2.15%
AA1,48929409,第一金台灣成長基金,9525348,0.86%,12167903,1.10%,17732538,1.60%,1773106,0.16%,0,0.00%,7512,0.00%,41206407,3.72%
AA1,10300195,第一金金鑽基金,4474642,0.89%,5717309,1.14%,8058785,1.60%,805723,0.16%,0,0.00%,5705,0.00%,19062164,3.78%
AA2,10338642,第一金全球大趨勢基金,2274265,0.32%,1558897,0.22%,13215603,1.85%,1714284,0.24%,0,0.00%,1067573,0.15%,19830622,2.78%
AC23,25593418,第一金全球高收益債券基金,0,0.00%,0,0.00%,80128464,1.50%,9081231,0.17%,0,0.00%,54925,0.00%,89264620,1.67%
AA2,25620512,第一金中國世紀基金,15208382,0.38%,11367313,0.29%,71139641,1.80%,9880495,0.25%,0,0.00%,656824,0.02%,108252655,2.74%
AA2,25652648,第一金亞洲新興市場基金,21503534,0.61%,8843258,0.25%,51435716,1.46%,7228810,0.21%,0,0.00%,99351,0.00%,89110669,2.54%
AA1,26202396,第一金創新趨勢基金,6555561,0.23%,6006436,0.21%,9137761,0.32%,913743,0.03%,0,0.00%,17050,0.00%,22630551,0.78%
AA1,1050013,匯豐成長基金,828371,0.20%,1240024,0.30%,6132676,1.50%,817691,0.20%,0,0.00%,4676,0.00%,9023438,2.21%
AB1,971080,匯豐安富基金,4589403,0.27%,5803922,0.34%,20440497,1.20%,2980914,0.17%,0,0.00%,580804,0.03%,34395540,2.02%
AA1,76941376,匯豐成功基金,1014554,0.12%,782756,0.09%,5983504,0.70%,1914447,0.22%,0,0.00%,2614,0.00%,9697875,1.13%
AA1,1031298,匯豐龍鳳基金,11990130,0.29%,15993857,0.39%,49562309,1.20%,4956230,0.12%,0,0.00%,150720,0.00%,82653246,2.00%
AA1,92017794,匯豐龍騰電子基金,10308819,0.41%,13357659,0.54%,29959797,1.20%,3744975,0.15%,0,0.00%,670,0.00%,57371920,2.30%
AD1,92025871,匯豐富泰貨幣市場基金,0,0.00%,0,0.00%,3287120,0.06%,2739271,0.05%,0,0.00%,60778,0.00%,6087169,0.11%
AD1,97993027,匯豐富泰二號貨幣市場基金,0,0.00%,0,0.00%,2447045,0.05%,2447045,0.05%,0,0.00%,52623,0.00%,4946713,0.10%
AA1,97995664,匯豐中小基金,4104111,0.46%,5325214,0.60%,13282867,1.50%,1239752,0.14%,0,0.00%,620,0.00%,23952564,2.70%
AA1,73987671,匯豐台灣精典基金,1180240,0.14%,1809990,0.22%,12538293,1.50%,1086655,0.13%,0,0.00%,690,0.00%,16615868,1.99%
AA2,18031954,匯豐太平洋精典基金,9936291,0.70%,6126387,0.43%,25513827,1.80%,2267898,0.16%,0,0.00%,137944,0.01%,43982347,3.10%
AE21,15587747,匯豐歐洲精典組合基金,243160,0.06%,0,0.00%,2631935,0.70%,488799,0.13%,0,0.00%,150,0.00%,3364044,0.89%
AA2,48686374,匯豐金磚動力基金,20452820,0.20%,5987044,0.06%,208738286,2.00%,33398124,0.32%,0,0.00%,13673158,0.13%,282249432,2.70%
AE21,48746014,匯豐新日本動力組合基金,94957,0.02%,0,0.00%,4187341,1.00%,544365,0.13%,0,0.00%,0,0.00%,4826663,1.15%
