類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,1978555,0.32%,3063982,0.49%,9292704,1.50%,929270,0.15%,0,0.00%,164009,0.03%,15428520,2.49%
AA1,1050148,兆豐國際國民基金,768296,0.17%,1298374,0.29%,6621999,1.50%,750503,0.17%,0,0.00%,278799,0.06%,9717971,2.20%
AA2,992769,兆豐國際全球基金,16794119,1.19%,3846621,0.27%,21186500,1.50%,3672325,0.26%,0,0.00%,4844606,0.34%,50344171,3.56%
AB1,971976,兆豐國際萬全基金,806362,0.27%,1248672,0.42%,3555308,1.20%,355530,0.12%,0,0.00%,225587,0.08%,6191459,2.09%
AA1,81584996,兆豐國際中小基金,1427388,0.25%,2409056,0.43%,8403393,1.50%,728286,0.13%,0,0.00%,115548,0.02%,13083671,2.34%
AA1,73991751,兆豐國際電子基金,1733633,0.20%,2939445,0.34%,13032301,1.50%,1390115,0.16%,0,0.00%,135378,0.02%,19230872,2.21%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,138566937,0.17%,34452985,0.04%,0,0.00%,74296859,0.09%,247316781,0.30%
AA2,14699772,兆豐國際生命科學基金,2478059,0.80%,241918,0.08%,5263878,1.70%,805074,0.26%,0,0.00%,1024356,0.33%,9813285,3.17%
AA1,10341837,兆豐國際豐台灣基金,1099153,0.18%,1873366,0.31%,9628107,1.60%,902624,0.15%,0,0.00%,104783,0.02%,13608033,2.26%
AA2,25637773,兆豐國際綠鑽基金,2298064,1.42%,418446,0.26%,2919485,1.80%,421709,0.26%,0,0.00%,690420,0.43%,6748124,4.16%
AA2,26278352,兆豐國際全球高股息基金,3663198,0.63%,1221772,0.21%,10427052,1.80%,1621992,0.28%,0,0.00%,3121061,0.54%,20055075,3.46%
