類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,國際第一基金,14537436,1.04%,17896479,1.27%,21058772,1.50%,2807843,0.20%,0,0.00%,224011,0.02%,56524541,4.03%
AA1,1050148,國際國民基金,17464945,1.69%,25764086,2.50%,15468814,1.50%,2062501,0.20%,0,0.00%,339870,0.03%,61100216,5.93%
AA2,992769,國際全球基金,27741102,1.24%,1779992,0.08%,33141813,1.48%,5759152,0.26%,0,0.00%,3137191,0.14%,71559250,3.20%
AB2,971976,國際萬全基金,2422644,0.44%,3722953,0.67%,6661364,1.20%,2000000,0.36%,0,0.00%,-404640,-0.07%,14402321,2.59%
AC11,1013101,國際萬寶基金,0,0.00%,0,0.00%,40088210,0.31%,8982815,0.07%,0,0.00%,14788635,0.12%,63859660,0.50%
AA1,92003790,國際精選二十基金,12796335,1.66%,17991551,2.34%,11543541,1.50%,1077397,0.14%,0,0.00%,308725,0.04%,43717549,5.68%
AC11,92023183,國際萬能基金,0,0.00%,0,0.00%,17570661,0.35%,5020193,0.10%,0,0.00%,5547073,0.11%,28137927,0.56%
AA1,81584996,國際中小基金,14106604,1.00%,18690825,1.32%,21176038,1.50%,1835248,0.13%,0,0.00%,110966,0.01%,55919681,3.96%
AA1,73991751,國際電子基金,11836081,0.80%,17838732,1.21%,22163777,1.50%,2364147,0.16%,0,0.00%,169913,0.01%,54372650,3.68%
AA1,17606299,國際金龍基金,2935411,0.89%,4507711,1.37%,5264967,1.60%,493591,0.15%,0,0.00%,42132,0.01%,13243812,4.02%
AC11,18044796,兆豐國際寶鑽債券基金,0,0.00%,0,0.00%,112397365,0.30%,29972639,0.08%,0,0.00%,21776462,0.06%,164146466,0.44%
AA2,14699772,國際生命科學基金,6588334,1.43%,1866786,0.40%,7840519,1.70%,1199147,0.26%,0,0.00%,294578,0.06%,17789364,3.86%
AB2,15754836,兆豐國際平衡基金,4259830,0.75%,4881435,0.86%,6791675,1.20%,679174,0.12%,0,0.00%,87667,0.02%,16699781,2.95%
AB2,29208036,國際安盈基金,667620,0.29%,1097314,0.48%,2722290,1.20%,272225,0.12%,0,0.00%,47976,0.02%,4807425,2.12%
AB3,48885015,兆豐國際亞太通平衡基金,2391196,0.43%,363646,0.07%,4607552,0.83%,737212,0.13%,0,0.00%,38551,0.01%,8138157,1.46%
AC2,48910437,國際亞洲債券基金,0,0.00%,0,0.00%,4624711,0.42%,786203,0.07%,0,0.00%,250466,0.02%,5661380,0.52%
AA1,968521,建弘福元基金,5065628,0.54%,5384907,0.58%,13995855,1.50%,1865940,0.20%,0,0.00%,629946,0.07%,26942276,2.89%
AA2,969710,建弘泛太基金,2100191,0.42%,0,0.00%,7513504,1.50%,1411075,0.28%,0,0.00%,494735,0.10%,11519505,2.30%
AA1,971096,建弘雙福基金,4852053,0.63%,5315171,0.69%,9226898,1.20%,2000000,0.26%,0,0.00%,447690,0.06%,21841812,2.84%
AC11,1032249,建弘全家福基金,0,0.00%,0,0.00%,110305339,0.21%,37364483,0.07%,0,0.00%,42047684,0.08%,189717506,0.35%
AA1,1032803,建弘萬得福基金,4329906,1.16%,4782293,1.28%,5599639,1.50%,559805,0.15%,0,0.00%,162993,0.04%,15434636,4.13%
AA2,92010461,建弘馬來西亞基金,5202783,0.43%,1148023,0.10%,21026393,1.75%,3123750,0.26%,0,0.00%,9322154,0.78%,39823103,3.31%
AA1,97980043,建弘福王基金,7330321,0.67%,8246034,0.75%,17564883,1.60%,1646550,0.15%,0,0.00%,2499,0.00%,34790287,3.17%
AC11,20081472,建弘台灣債券基金,0,0.00%,0,0.00%,71439977,0.25%,17325811,0.06%,0,0.00%,23110257,0.08%,111876045,0.40%
AA1,20092528,建弘店頭市場基金,10196361,1.04%,11500861,1.17%,15751448,1.60%,1476525,0.15%,0,0.00%,7066,0.00%,38932261,3.96%
AA2,81593453,建弘全球台商基金,6392541,0.54%,5779291,0.49%,18892294,1.60%,2833697,0.24%,0,0.00%,13896,0.00%,33911719,2.87%
