類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,2300913,0.44%,3603206,0.68%,7892160,1.50%,789210,0.15%,0,0.00%,160432,0.03%,14745921,2.80%
AA1,1050148,兆豐國際國民基金,730033,0.19%,1181937,0.31%,5668105,1.50%,642390,0.17%,0,0.00%,275754,0.07%,8498219,2.25%
AA2,992769,兆豐國際全球基金,11515364,0.90%,1928862,0.15%,19221353,1.50%,3331701,0.26%,0,0.00%,3189837,0.25%,39187117,3.06%
AB1,971976,兆豐國際萬全基金,638537,0.23%,975789,0.35%,3317019,1.20%,331704,0.12%,0,0.00%,216930,0.08%,5479979,1.98%
AA1,81584996,兆豐國際中小基金,944644,0.26%,1541370,0.43%,5384237,1.50%,466636,0.13%,0,0.00%,114905,0.03%,8451792,2.35%
AA1,73991751,兆豐國際電子基金,1452859,0.20%,2303850,0.32%,10802547,1.50%,1152270,0.16%,0,0.00%,136065,0.02%,15847591,2.20%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,141616979,0.17%,34991238,0.04%,0,0.00%,75740451,0.09%,252348668,0.30%
AA2,14699772,兆豐國際生命科學基金,1737189,0.48%,58684,0.02%,6179092,1.70%,945045,0.26%,0,0.00%,1020533,0.28%,9940543,2.73%
AA1,10341837,兆豐國際豐台灣基金,914246,0.20%,1487447,0.32%,7460691,1.60%,699429,0.15%,0,0.00%,109408,0.02%,10671221,2.29%
AA2,25637773,兆豐國際綠鑽基金,1183885,0.92%,297019,0.23%,2319161,1.80%,334992,0.26%,0,0.00%,571112,0.44%,4706169,3.65%
AA2,26278352,兆豐國際全球高股息基金,536694,0.24%,134370,0.06%,4003849,1.80%,622820,0.28%,0,0.00%,1674975,0.75%,6972708,3.13%
AA2,26299315,兆豐國際民生動力基金,918618,0.46%,278593,0.14%,4019674,2.00%,522545,0.26%,0,0.00%,627838,0.31%,6367268,3.17%
AE22,31829638,兆豐國際全球債券組合基金,0,0.00%,0,0.00%,2933593,1.00%,352032,0.12%,0,0.00%,116001,0.04%,3401626,1.16%
AC23,31923107,兆豐國際新興市場高收益債券基金,0,0.00%,0,0.00%,14991048,1.80%,2165383,0.26%,0,0.00%,139826,0.02%,17296257,2.08%
AD2,38522710,兆豐國際人民幣貨幣市場基金,0,0.00%,0,0.00%,4811990,0.40%,1323297,0.11%,0,0.00%,2249395,0.19%,8384682,0.70%
AA2,38592074,兆豐國際中國A股基金,12227167,0.35%,7357819,0.21%,70549012,2.00%,9171369,0.26%,0,0.00%,5869243,0.17%,105174610,2.98%
