類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,6484109,0.94%,9934427,1.44%,10343660,1.50%,1034367,0.15%,0,0.00%,160160,0.02%,27956723,4.05%
AA1,1050148,兆豐國際國民基金,2352494,0.50%,3567971,0.75%,7096368,1.50%,804249,0.17%,0,0.00%,202862,0.04%,14023944,2.96%
AA2,992769,兆豐國際全球基金,15287917,1.04%,6002182,0.41%,22072390,1.50%,3825890,0.26%,0,0.00%,3475303,0.24%,50663682,3.44%
AB1,971976,兆豐國際萬全基金,1370141,0.40%,2026553,0.59%,4125125,1.20%,412512,0.12%,0,0.00%,305140,0.09%,8239471,2.40%
AA1,92003790,兆豐國際精選二十基金,1595993,0.35%,2432070,0.54%,6778932,1.50%,632704,0.14%,0,0.00%,181316,0.04%,11621015,2.57%
AA1,81584996,兆豐國際中小基金,5016274,0.78%,7414233,1.15%,9702811,1.50%,840924,0.13%,0,0.00%,35774,0.01%,23010016,3.56%
AA1,73991751,兆豐國際電子基金,2738192,0.42%,4088225,0.63%,9725763,1.50%,1037414,0.16%,0,0.00%,84767,0.01%,17674361,2.73%
AD1,18044796,兆豐國際寶鑽貨幣市場基金,0,0.00%,0,0.00%,171418013,0.25%,30848065,0.04%,0,0.00%,81101915,0.12%,283367993,0.41%
AA2,14699772,兆豐國際生命科學基金,4026318,1.20%,853514,0.26%,5683259,1.70%,869200,0.26%,0,0.00%,1159446,0.35%,12591737,3.77%
AA1,10341837,兆豐國際豐台灣基金,1808189,0.34%,2749338,0.52%,8431596,1.60%,790457,0.15%,0,0.00%,13543,0.00%,13793123,2.62%
AA2,25600852,兆豐國際巨龍領航基金,790397,0.51%,485794,0.31%,2809524,1.80%,405809,0.26%,0,0.00%,232875,0.15%,4724399,3.03%
AA2,25637773,兆豐國際綠鑽基金,3065732,1.57%,628117,0.32%,3511077,1.80%,507165,0.26%,0,0.00%,726041,0.37%,8438132,4.33%
AA2,26278352,兆豐國際全球高股息基金,14881096,1.29%,7903505,0.69%,20706190,1.80%,3220966,0.28%,0,0.00%,3557162,0.31%,50268919,4.37%
AA2,26299315,兆豐國際民生動力基金,21793666,1.78%,7005044,0.57%,24472576,2.00%,3181440,0.26%,0,0.00%,2264451,0.19%,58717177,4.80%
AE22,31829638,兆豐國際全球債券組合基金,108202,0.00%,970,0.00%,15147837,0.68%,1822534,0.08%,0,0.00%,266898,0.01%,17346441,0.78%
AA1,968521,第一金福元基金,1698108,0.43%,2509672,0.64%,5870551,1.50%,782588,0.20%,0,0.00%,109863,0.03%,10970782,2.80%
AD1,1032249,第一金全家福貨幣市場基金,0,0.00%,0,0.00%,45441405,0.10%,23524596,0.05%,0,0.00%,34681851,0.08%,103647852,0.23%
AA1,1032803,第一金萬得福基金,2634325,0.64%,3956629,0.96%,6182105,1.50%,618047,0.15%,0,0.00%,110528,0.03%,13501634,3.28%
AA2,92010461,第一金馬來西亞基金,1153690,0.20%,529390,0.09%,9897015,1.75%,1470415,0.26%,0,0.00%,156011,0.03%,13206521,2.34%
AA1,97980043,第一金福王基金,2091063,0.49%,3146045,0.73%,6860455,1.60%,643010,0.15%,0,0.00%,5243,0.00%,12745816,2.97%
AD1,20081472,第一金台灣貨幣市場基金,0,0.00%,0,0.00%,16468949,0.10%,6587464,0.04%,0,0.00%,11584993,0.07%,34641406,0.21%
AA1,20092528,第一金店頭市場基金,5370324,0.92%,8161616,1.39%,9372402,1.60%,878494,0.15%,0,0.00%,6152,0.00%,23788988,4.06%
AA2,81593453,第一金全球台商基金,1012734,0.24%,1048529,0.25%,6815039,1.60%,1022267,0.24%,0,0.00%,327,0.00%,9898896,2.32%
AA1,73989002,第一金小型精選基金,4037267,0.57%,6114595,0.87%,11270756,1.60%,1056471,0.15%,0,0.00%,5369,0.00%,22484458,3.19%
AA1,19341318,第一金電子基金,1684595,0.21%,2286462,0.28%,12892224,1.60%,1208481,0.15%,0,0.00%,11763,0.00%,18083525,2.24%
AA2,17612378,第一金亞洲科技基金,2946259,0.60%,1752298,0.36%,8625544,1.75%,1281493,0.26%,0,0.00%,2837,0.00%,14608431,2.96%
AA1,15739619,第一金大中華基金,7622870,0.92%,11576234,1.39%,13318086,1.60%,1248407,0.15%,0,0.00%,10193,0.00%,33775790,4.06%
AB1,99353151,第一金中概平衡基金,1226367,0.35%,1852447,0.53%,4183666,1.20%,418203,0.12%,0,0.00%,181753,0.05%,7862436,2.26%
AA2,48712350,第一金旗艦基金,720635,0.18%,983879,0.24%,7166990,1.75%,982895,0.24%,0,0.00%,4012,0.00%,9858411,2.41%
AG,48892846,第一金全球不動產證券化基金,3546397,0.88%,842393,0.21%,7034282,1.75%,924491,0.23%,0,0.00%,16210,0.00%,12363773,3.08%
AA1,48929409,第一金台灣成長基金,5583325,0.84%,8408933,1.27%,10633098,1.60%,1063151,0.16%,0,0.00%,7777,0.00%,25696284,3.87%
AA2,10338642,第一金全球大趨勢基金,2366871,0.68%,551288,0.16%,6461692,1.85%,838279,0.24%,0,0.00%,10210,0.00%,10228340,2.93%
AC23,25593418,第一金全球高收益債券基金,0,0.00%,0,0.00%,174294725,1.50%,19753417,0.17%,0,0.00%,35100,0.00%,194083242,1.67%
AA2,25620512,第一金中國世紀基金,7068103,0.38%,4805724,0.26%,33074152,1.80%,4593630,0.25%,0,0.00%,205423,0.01%,49747032,2.71%
AA2,25652648,第一金亞洲新興市場基金,1425110,0.28%,597413,0.12%,9514273,1.85%,1337137,0.26%,0,0.00%,230860,0.04%,13104793,2.55%
AA1,26202396,第一金創新趨勢基金,7548822,0.75%,11545234,1.15%,16089023,1.60%,1608726,0.16%,0,0.00%,9091,0.00%,36800896,3.66%
AC21,26297013,第一金新興市場投資等級債券基金,0,0.00%,0,0.00%,20325945,1.50%,3387662,0.25%,0,0.00%,8594,0.00%,23722201,1.75%
AA2,26333215,第一金全球品牌基金,1587366,0.33%,505087,0.10%,9671057,2.00%,1160533,0.24%,0,0.00%,7273,0.00%,12931316,2.67%
AC21,31887361,第一金全球企業社會責任投資等級債券基金,0,0.00%,0,0.00%,23851820,0.44%,5392589,0.10%,0,0.00%,49953,0.00%,29294362,0.54%
AB1,971080,匯豐安富基金,1951236,0.15%,2674200,0.21%,15545630,1.20%,2267072,0.18%,0,0.00%,197857,0.02%,22635995,1.75%
AA1,76941376,匯豐成功基金,1848090,0.09%,3017754,0.14%,14505079,0.70%,2921865,0.14%,0,0.00%,4343,0.00%,22297131,1.07%
AA1,1031298,匯豐龍鳳基金,5574707,0.13%,7591861,0.18%,50579763,1.20%,5057969,0.12%,0,0.00%,100624,0.00%,68904924,1.63%
AA1,92017794,匯豐龍騰電子基金,2541312,0.12%,3176719,0.15%,25889143,1.20%,3236153,0.15%,0,0.00%,410,0.00%,34843737,1.62%
AD1,92025871,匯豐富泰貨幣市場基金,0,0.00%,0,0.00%,1987554,0.06%,1656310,0.05%,0,0.00%,44711,0.00%,3688575,0.11%
AD1,97993027,匯豐富泰二號貨幣市場基金,0,0.00%,0,0.00%,1425086,0.05%,1425086,0.05%,0,0.00%,44944,0.00%,2895116,0.10%
AA1,97995664,匯豐中小基金,2662667,0.32%,3335273,0.40%,12377237,1.50%,1155209,0.14%,0,0.00%,530,0.00%,19530916,2.37%
AA1,73987671,匯豐台灣精典基金,1708816,0.15%,2485887,0.21%,17675672,1.50%,1531896,0.13%,0,0.00%,604,0.00%,23402875,1.99%
AA2,18031954,匯豐太平洋精典基金,1539743,0.17%,1025477,0.11%,16090450,1.80%,1430261,0.16%,0,0.00%,114079,0.01%,20200010,2.26%
AA2,48686374,匯豐金磚動力基金,2236686,0.03%,900721,0.01%,149900084,2.00%,23984024,0.32%,0,0.00%,2291336,0.03%,179312851,2.39%
AE22,48745129,匯豐五福全球債券組合基金,594178,0.02%,4810,0.00%,23917456,0.99%,3127167,0.13%,0,0.00%,2492,0.00%,27646103,1.15%
AA2,48784327,匯豐新鑽動力基金,5602676,0.19%,2246028,0.07%,60395100,2.00%,9663219,0.32%,0,0.00%,1088145,0.04%,78995168,2.62%
AE21,48865209,匯豐全球趨勢組合基金,1249005,0.06%,129305,0.01%,27074424,1.20%,2933068,0.13%,0,0.00%,5953,0.00%,31391755,1.39%
AA2,48925001,匯豐全球關鍵資源基金,7868070,0.21%,1376401,0.04%,66314818,1.80%,9947228,0.27%,0,0.00%,285621,0.01%,85792138,2.33%
AA2,48998019,匯豐全球新富基金,947596,0.18%,324112,0.06%,9287610,1.80%,1393152,0.27%,0,0.00%,125945,0.02%,12078415,2.34%
AA2,25500903,匯豐中國動力基金,2701311,0.07%,1619973,0.04%,70354669,1.80%,9771483,0.25%,0,0.00%,83265,0.00%,84530701,2.16%
