類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AA1,965469,兆豐國際第一基金,14271909,1.12%,22186016,1.74%,19177652,1.50%,2038242,0.16%,0,0.00%,862077,0.07%,58535896,4.58%
AA1,1050148,兆豐國際國民基金,7063924,0.97%,10685442,1.47%,10876170,1.50%,1273819,0.18%,0,0.00%,479353,0.07%,30378708,4.19%
AA2,992769,兆豐國際全球基金,20034502,1.11%,2172585,0.12%,27076279,1.50%,4695830,0.26%,0,0.00%,4821214,0.27%,58800410,3.25%
AB1,971976,兆豐國際萬全基金,932182,0.21%,1547734,0.35%,5366344,1.20%,577447,0.13%,0,0.00%,696462,0.16%,9120169,2.04%
AA1,92003790,兆豐國際精選二十基金,7204849,1.13%,11027350,1.74%,9522175,1.50%,888740,0.14%,0,0.00%,435281,0.07%,29078395,4.58%
AA1,81584996,兆豐國際中小基金,9107227,0.66%,13898801,1.01%,20575012,1.50%,1783170,0.13%,0,0.00%,493121,0.04%,45857331,3.34%
AA1,73991751,兆豐國際電子基金,7872869,0.74%,11960143,1.13%,15936163,1.50%,1699852,0.16%,0,0.00%,387956,0.04%,37856983,3.56%
AC11,18044796,兆豐國際寶鑽債券基金,0,0.00%,0,0.00%,82290443,0.25%,19897121,0.06%,0,0.00%,63619516,0.20%,165807080,0.51%
AA2,14699772,兆豐國際生命科學基金,12890614,3.14%,2808739,0.68%,6977307,1.70%,1067119,0.26%,0,0.00%,133631,0.03%,23877410,5.82%
AB1,29208036,兆豐國際安盈基金,1796170,0.32%,2854558,0.52%,6625463,1.20%,662541,0.12%,0,0.00%,454502,0.08%,12393234,2.24%
AA1,10341837,兆豐國際豐台灣基金,215037,0.03%,238580,0.04%,3778947,0.58%,354277,0.05%,0,0.00%,430767,0.07%,5017608,0.76%
AA1,968521,建弘福元基金,7864162,1.15%,8780470,1.29%,10217891,1.50%,1362225,0.20%,0,0.00%,529697,0.08%,28754445,4.22%
AA2,969710,建弘泛太基金,2798780,0.91%,0,0.00%,4615036,1.50%,1421500,0.46%,0,0.00%,379040,0.12%,9214356,2.99%
AA1,971096,建弘雙福基金,6072060,1.32%,6680898,1.45%,5533646,1.20%,2000000,0.43%,0,0.00%,409418,0.09%,20696022,4.49%
AC11,1032249,建弘全家福基金,0,0.00%,0,0.00%,72086383,0.19%,22740217,0.06%,0,0.00%,60455437,0.16%,155282037,0.41%
AA1,1032803,建弘萬得福基金,9141000,0.99%,8706357,0.94%,13865199,1.50%,1386328,0.15%,0,0.00%,110755,0.01%,33209639,3.59%
AA2,92010461,建弘馬來西亞基金,2736982,0.36%,512147,0.07%,13198186,1.75%,1960700,0.26%,0,0.00%,6042871,0.80%,24450886,3.24%
AA1,97980043,建弘福王基金,8743752,1.25%,9617611,1.37%,11207700,1.60%,1052065,0.15%,0,0.00%,12012,0.00%,30633140,4.37%
AC11,20081472,建弘台灣債券基金,0,0.00%,0,0.00%,70455271,0.25%,14949317,0.05%,0,0.00%,41561588,0.15%,126966176,0.45%
AA1,20092528,建弘店頭市場基金,8249639,1.29%,8898550,1.39%,10224438,1.60%,958373,0.15%,0,0.00%,3051,0.00%,28334051,4.44%
AA2,81593453,建弘全球台商基金,5532679,0.74%,4927391,0.66%,11651013,1.56%,1797404,0.24%,0,0.00%,8145,0.00%,23916632,3.20%
AA1,73989002,建弘小型精選基金,10273476,0.78%,11188013,0.84%,21176605,1.60%,1990307,0.15%,0,0.00%,4807,0.00%,44633208,3.37%
AA1,19341318,建弘電子基金,10011771,1.44%,10758733,1.54%,11158274,1.60%,1047353,0.15%,0,0.00%,5180,0.00%,32981311,4.73%
AA2,17612378,建弘亞洲科技基金,6048325,0.69%,4170220,0.47%,15369764,1.74%,2299516,0.26%,0,0.00%,1423770,0.16%,29311595,3.33%
AA1,15739619,建弘大中華基金,18114040,1.13%,20368846,1.27%,25761851,1.60%,2418441,0.15%,0,0.00%,7015,0.00%,66670193,4.14%
AB1,99353151,建弘中概平衡基金,2665784,0.40%,2845388,0.43%,8034112,1.20%,803247,0.12%,0,0.00%,226847,0.03%,14575378,2.18%
AA2,48712350,建弘旗艦基金,8348476,1.09%,8656024,1.13%,13368224,1.75%,1833163,0.24%,0,0.00%,560089,0.07%,32765976,4.29%
AB2,48795540,建弘歐洲動力平衡基金,1237726,0.16%,50070,0.01%,11975295,1.50%,1676535,0.21%,0,0.00%,9923,0.00%,14949549,1.87%
