日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
112/06/01,"15,387.28","30,225.04",2023-06-01,15387.28,30225.04,0,0
112/06/02,"15,560.48","30,571.09",2023-06-02,15560.48,30571.09,0,0
112/06/05,"15,679.97","30,827.80",2023-06-05,15679.97,30827.8,0,0
112/06/06,"15,649.29","30,767.48",2023-06-06,15649.29,30767.48,0,0
112/06/07,"15,761.20","31,015.00",2023-06-07,15761.2,31015.0,0,0
112/06/08,"15,529.21","30,558.49",2023-06-08,15529.21,30558.49,0,0
112/06/09,"15,715.67","30,925.42",2023-06-09,15715.67,30925.42,0,0
112/06/12,"15,750.72","30,994.39",2023-06-12,15750.72,30994.39,0,0
112/06/13,"15,968.56","31,423.04",2023-06-13,15968.56,31423.04,0,0
112/06/14,"16,060.77","31,625.12",2023-06-14,16060.77,31625.12,0,0
112/06/15,"16,352.38","32,257.13",2023-06-15,16352.38,32257.13,0,0
112/06/16,"16,291.58","32,158.57",2023-06-16,16291.58,32158.57,0,0
112/06/19,"16,318.97","32,212.64",2023-06-19,16318.97,32212.64,0,0
112/06/20,"16,284.72","32,171.18",2023-06-20,16284.72,32171.18,0,0
112/06/21,"16,402.76","32,404.37",2023-06-21,16402.76,32404.37,0,0
112/06/26,"16,318.53","32,237.97",2023-06-26,16318.53,32237.97,0,0
112/06/27,"16,003.91","31,636.89",2023-06-27,16003.91,31636.89,0,0
112/06/28,"16,075.26","31,777.93",2023-06-28,16075.26,31777.93,0,0
