日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
110/07/01,"14,064.35","25,521.00",2021-07-01,14064.35,25521.0,0,0
110/07/02,"14,160.32","25,695.13",2021-07-02,14160.32,25695.13,0,0
110/07/05,"14,330.13","26,005.17",2021-07-05,14330.13,26005.17,0,0
110/07/06,"14,324.11","25,994.25",2021-07-06,14324.11,25994.25,0,0
110/07/07,"14,316.02","25,979.58",2021-07-07,14316.02,25979.58,0,0
110/07/08,"14,377.48","26,108.32",2021-07-08,14377.48,26108.32,0,0
110/07/09,"14,245.26","25,868.22",2021-07-09,14245.26,25868.22,0,0
110/07/12,"14,324.10","26,011.39",2021-07-12,14324.1,26011.39,0,0
110/07/13,"14,270.55","25,931.75",2021-07-13,14270.55,25931.75,0,0
110/07/14,"14,213.38","25,833.39",2021-07-14,14213.38,25833.39,0,0
110/07/15,"14,361.57","26,126.49",2021-07-15,14361.57,26126.49,0,0
110/07/16,"14,427.67","26,246.74",2021-07-16,14427.67,26246.74,0,0
110/07/19,"14,359.02","26,140.97",2021-07-19,14359.02,26140.97,0,0
110/07/20,"14,086.49","25,644.82",2021-07-20,14086.49,25644.82,0,0
110/07/21,"13,958.54","25,437.48",2021-07-21,13958.54,25437.48,0,0
110/07/22,"14,086.37","25,698.40",2021-07-22,14086.37,25698.4,0,0
110/07/23,"14,125.11","25,795.31",2021-07-23,14125.11,25795.31,0,0
110/07/26,"14,136.35","25,825.28",2021-07-26,14136.35,25825.28,0,0
110/07/27,"13,979.98","25,573.08",2021-07-27,13979.98,25573.08,0,0
110/07/28,"13,823.92","25,287.60",2021-07-28,13823.92,25287.6,0,0
110/07/29,"14,078.90","25,780.72",2021-07-29,14078.9,25780.72,0,0
110/07/30,"13,946.49","25,552.97",2021-07-30,13946.49,25552.97,0,0
