日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
103/02/05,"7,244.17","10,054.90",2014-02-05,7244.17,10054.9,0,0
103/02/06,"7,287.21","10,114.63",2014-02-06,7287.21,10114.63,0,0
103/02/07,"7,350.93","10,203.07",2014-02-07,7350.93,10203.07,0,0
103/02/10,"7,369.46","10,228.79",2014-02-10,7369.46,10228.79,0,0
103/02/11,"7,393.49","10,262.15",2014-02-11,7393.49,10262.15,0,0
103/02/12,"7,448.69","10,338.77",2014-02-12,7448.69,10338.77,0,0
103/02/13,"7,412.72","10,288.84",2014-02-13,7412.72,10288.84,0,0
103/02/14,"7,405.11","10,278.28",2014-02-14,7405.11,10278.28,0,0
103/02/17,"7,417.86","10,295.97",2014-02-17,7417.86,10295.97,0,0
103/02/18,"7,448.33","10,338.27",2014-02-18,7448.33,10338.27,0,0
103/02/19,"7,443.76","10,331.92",2014-02-19,7443.76,10331.92,0,0
103/02/20,"7,426.05","10,307.34",2014-02-20,7426.05,10307.34,0,0
103/02/21,"7,473.88","10,373.73",2014-02-21,7473.88,10373.73,0,0
103/02/24,"7,445.02","10,333.66",2014-02-24,7445.02,10333.66,0,0
103/02/25,"7,456.57","10,349.70",2014-02-25,7456.57,10349.7,0,0
103/02/26,"7,503.97","10,415.49",2014-02-26,7503.97,10415.49,0,0
103/02/27,"7,564.71","10,499.80",2014-02-27,7564.71,10499.8,0,0
