日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
101/06/01,"6,063.14","7,905.38",2012-06-01,6063.14,7905.38,0,0
101/06/04,"5,849.59","7,629.33",2012-06-04,5849.59,7629.33,0,0
101/06/05,"5,966.20","7,781.42",2012-06-05,5966.2,7781.42,0,0
101/06/06,"6,026.93","7,860.62",2012-06-06,6026.93,7860.62,0,0
101/06/07,"6,029.61","7,864.12",2012-06-07,6029.61,7864.12,0,0
101/06/08,"6,019.90","7,851.46",2012-06-08,6019.9,7851.46,0,0
101/06/11,"6,106.49","7,964.39",2012-06-11,6106.49,7964.39,0,0
101/06/12,"6,082.45","7,933.03",2012-06-12,6082.45,7933.03,0,0
101/06/13,"6,095.00","7,949.40",2012-06-13,6095.0,7949.4,0,0
101/06/14,"6,064.15","7,909.16",2012-06-14,6064.15,7909.16,0,0
101/06/15,"6,171.39","8,049.03",2012-06-15,6171.39,8049.03,0,0
101/06/18,"6,267.29","8,174.11",2012-06-18,6267.29,8174.11,0,0
101/06/19,"6,240.81","8,139.57",2012-06-19,6240.81,8139.57,0,0
101/06/20,"6,292.45","8,206.93",2012-06-20,6292.45,8206.93,0,0
101/06/21,"6,266.79","8,174.09",2012-06-21,6266.79,8174.09,0,0
101/06/22,"6,227.57","8,122.92",2012-06-22,6227.57,8122.92,0,0
101/06/25,"6,176.77","8,056.66",2012-06-25,6176.77,8056.66,0,0
101/06/26,"6,141.21","8,010.28",2012-06-26,6141.21,8010.28,0,0
101/06/27,"6,179.14","8,060.24",2012-06-27,6179.14,8060.24,0,0
101/06/28,"6,145.27","8,026.87",2012-06-28,6145.27,8026.87,0,0
101/06/29,"6,245.09","8,159.44",2012-06-29,6245.09,8159.44,0,0
