日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
115/06/01,"36,777.56","78,749.08",2026-06-01,36777.56,78749.08,0,0
115/06/02,"36,835.27","78,891.15",2026-06-02,36835.27,78891.15,0,0
115/06/03,"37,492.88","80,299.57",2026-06-03,37492.88,80299.57,0,0
115/06/04,"36,792.93","78,800.47",2026-06-04,36792.93,78800.47,0,0
115/06/05,"36,252.29","77,642.57",2026-06-05,36252.29,77642.57,0,0
115/06/08,"34,563.58","74,095.95",2026-06-08,34563.58,74095.95,0,0
115/06/09,"35,746.75","76,632.37",2026-06-09,35746.75,76632.37,0,0
115/06/10,"34,406.79","73,759.83",2026-06-10,34406.79,73759.83,0,0
115/06/11,"34,576.05","74,187.91",2026-06-11,34576.05,74187.91,0,0
115/06/12,"35,305.51","75,753.06",2026-06-12,35305.51,75753.06,0,0
115/06/15,"36,043.38","77,429.80",2026-06-15,36043.38,77429.8,0,0
115/06/16,"36,130.99","77,618.01",2026-06-16,36130.99,77618.01,0,0
115/06/17,"36,620.22","78,755.32",2026-06-17,36620.22,78755.32,0,0
115/06/18,"37,292.59","80,201.31",2026-06-18,37292.59,80201.31,0,0
115/06/22,"38,216.49","82,193.36",2026-06-22,38216.49,82193.36,0,0
115/06/23,"37,073.64","79,735.39",2026-06-23,37073.64,79735.39,0,0
