日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
114/06/02,"17,881.93","37,120.39",2025-06-02,17881.93,37120.39,0,0
114/06/03,"18,024.43","37,438.71",2025-06-03,18024.43,37438.71,0,0
114/06/04,"18,261.72","37,939.17",2025-06-04,18261.72,37939.17,0,0
114/06/05,"18,375.93","38,176.44",2025-06-05,18375.93,38176.44,0,0
114/06/06,"18,414.48","38,256.54",2025-06-06,18414.48,38256.54,0,0
114/06/09,"18,492.35","38,418.31",2025-06-09,18492.35,38418.31,0,0
114/06/10,"18,650.26","38,746.37",2025-06-10,18650.26,38746.37,0,0
114/06/11,"18,711.48","38,873.56",2025-06-11,18711.48,38873.56,0,0
114/06/12,"18,697.16","38,890.56",2025-06-12,18697.16,38890.56,0,0
114/06/13,"18,570.68","38,627.47",2025-06-13,18570.68,38627.47,0,0
