日期,臺灣中型100指數,臺灣中型100報酬指數,Date,Close,Adj Close,Dividends,Stock Splits
109/01/02,"8,740.60","15,225.76",2020-01-02,8740.6,15225.76,0,0
109/01/03,"8,699.04","15,153.36",2020-01-03,8699.04,15153.36,0,0
109/01/06,"8,608.57","14,995.76",2020-01-06,8608.57,14995.76,0,0
109/01/07,"8,545.04","14,885.10",2020-01-07,8545.04,14885.1,0,0
109/01/08,"8,514.70","14,832.25",2020-01-08,8514.7,14832.25,0,0
109/01/09,"8,659.86","15,085.11",2020-01-09,8659.86,15085.11,0,0
109/01/10,"8,700.28","15,155.53",2020-01-10,8700.28,15155.53,0,0
109/01/13,"8,818.98","15,362.30",2020-01-13,8818.98,15362.3,0,0
109/01/14,"8,860.92","15,435.36",2020-01-14,8860.92,15435.36,0,0
109/01/15,"8,822.39","15,368.24",2020-01-15,8822.39,15368.24,0,0
109/01/16,"8,842.93","15,404.02",2020-01-16,8842.93,15404.02,0,0
109/01/17,"8,867.85","15,447.42",2020-01-17,8867.85,15447.42,0,0
109/01/20,"8,915.18","15,529.87",2020-01-20,8915.18,15529.87,0,0
109/01/30,"8,343.57","14,534.14",2020-01-30,8343.57,14534.14,0,0
109/01/31,"8,401.99","14,635.92",2020-01-31,8401.99,14635.92,0,0
